,Network_Line_In_N_101_N_102_cac1,Network_Line_In_N_103_N_124_cac1,Network_Line_In_N_106_N_108_cac1,Network_Line_In_N_109_N_111_cac1,Network_Line_In_N_115_N_116_cac1,Network_Line_In_N_116_N_117_cac1,Network_Line_In_N_117_N_118_cac1,Network_Line_In_N_118_N_121_cac1
73,1.65328E-05,-0.000103783,0.000112307,2.94825E-05,-0.000184827,0.000879352,0.000352942,0.001023867
74,5.62175E-06,-0.000104911,0.000127181,2.7113E-05,-0.000186987,0.00089847,0.000339408,0.001018323
75,1.11375E-06,-9.5975E-05,0.000124585,3.2086E-05,-0.000183311,0.000889205,0.000338991,0.001028802
76,-2.24625E-06,-8.04922E-05,0.000125613,4.88423E-05,-0.000173979,0.000863422,0.000336118,0.00104896
77,-3.4228E-05,-8.1349E-05,0.000140961,3.95255E-05,-0.000148956,0.000732638,0.000395552,0.001317941
78,-5.1908E-05,-0.000155777,-1.17165E-05,2.0262E-05,7.73705E-05,0.000985071,0.000456653,0.00151562
79,7.24905E-05,-5.8573E-05,-8.4455E-06,9.4477E-05,0.000299655,0.001456909,0.000715506,0.001481134
80,1.28075E-05,-0.000125133,-1.29275E-05,5.19225E-05,0.00027751,0.001462161,0.000696585,0.001493959
81,-1.0759E-05,-0.00013708,-5.0541E-05,2.7485E-05,0.000274521,0.001531825,0.000680667,0.001553066
82,4.8355E-06,-0.000231534,-0.000151888,-8.55695E-05,0.00034248,0.001734532,0.000646696,0.001180482
83,-5.47175E-05,-0.000289932,-0.000187881,-0.000100553,0.000268262,0.001783017,0.000611104,0.001437594
84,-4.99255E-05,-0.000246979,-0.000144142,-0.000113986,0.000293785,0.001846407,0.00067632,0.00144529
85,-4.8008E-05,-0.000221441,-0.000122306,-0.00011398,0.000337697,0.001885746,0.000715642,0.001378081
86,-4.524E-05,-0.000252367,-0.000153496,-0.000113991,0.00036034,0.001858108,0.000691339,0.001125217
87,5.8635E-06,-0.000276756,-0.000177071,-9.42125E-05,0.000381381,0.001973569,0.000668696,0.000673383
88,0.002311222,0.000204607,0.005008971,0.0075861,0.014533336,0.070950577,0.033385389,-0.000891528
89,-0.00063337,-0.01533102,0.008841805,0.01300653,0.008676335,0.153963825,0.072443675,0.07949205
90,-0.001339195,-0.017281185,-0.001194215,0.0038905,-0.00065916,0.138835075,0.06037884,0.080022465
91,-0.003050973,-0.005705171,0.000714251,0.000932422,0.00280066,0.133334728,0.059779363,0.053136955
92,-8.9857E-05,-0.000197522,-8.643E-06,6.479E-06,0.00025509,0.001659897,0.000710902,0.00130402
93,-7.4729E-05,-0.000203942,-1.84965E-05,3.13075E-05,0.000239923,0.001674879,0.000759265,0.001281593
94,-8.348E-05,-0.00020948,1.5795E-06,2.39385E-05,0.000184998,0.001700171,0.000792295,0.001411982
95,-4.325E-07,-6.59415E-05,9.2018E-05,-7.9835E-06,9.59375E-05,0.000855051,0.000396788,0.001327686
96,-1.6582E-05,-5.43145E-05,0.000155449,2.31597E-05,5.0405E-06,0.000827197,0.000445652,0.001290068
97,-1.92668E-05,-0.000113304,0.000123468,2.93595E-05,-0.000188578,0.000806552,0.000365709,0.001046401
98,-5.02988E-05,-0.000131432,0.000128061,7.8155E-06,-0.000212997,0.000827331,0.000307985,0.001001381
99,-5.32793E-05,-0.000123661,0.000121399,1.14555E-05,-0.000211422,0.00082685,0.000303007,0.000998032
100,-6.85195E-05,-0.000132781,0.000127315,4.36225E-06,-0.000220139,0.000795174,0.000287108,0.001003567
101,-8.06005E-05,-0.000118907,0.000126876,2.25675E-05,-0.000216454,0.000748012,0.000296478,0.001011655
102,-0.000106209,-0.000165012,0.000111762,-1.3672E-05,-0.000226524,0.000674598,0.000256009,0.001129474
103,-4.7092E-05,-0.000148882,0.000125851,-4.13475E-05,3.34005E-05,0.000675548,0.00029521,0.001330923
104,-3.0618E-05,-0.000137903,6.31175E-05,-6.22315E-05,7.01735E-05,0.000707652,0.000262714,0.001370769
105,-5.60355E-05,-0.000196911,-4.84505E-05,-1.6578E-05,9.67235E-05,0.000897903,0.000438501,0.001559899
106,-5E-10,-0.000176974,-5.41285E-05,-1.3799E-05,0.000189595,0.001162059,0.000561826,0.001413483
107,-1.3075E-06,-0.000185467,-5.6475E-05,-2.8014E-05,8.5857E-05,0.00103581,0.000623092,0.001158752
108,2.015E-07,-0.000177797,-5.63485E-05,-2.78945E-05,6.9756E-05,0.001079094,0.000623286,0.001062047
109,4.88E-07,-0.000181444,-5.9992E-05,-2.97465E-05,8.63075E-05,0.001132533,0.000632696,0.001008075
110,2.805E-06,-0.00017843,-5.69075E-05,-2.8029E-05,0.00025025,0.001788899,0.000666216,0.000959248
111,-3.24735E-05,-0.00020957,-0.000124928,-0.000120957,0.000262458,0.001913812,0.000767618,0.00100496
112,-2.37715E-05,-0.000270564,-0.000142548,-0.000106122,0.000254967,0.001740858,0.000668126,0.001178711
113,-5.0791E-05,-0.000256044,0.000136041,8.6207E-05,0.00035923,0.002323739,0.000851825,0.000812198
114,-5.4743E-05,-0.000177291,-6.9362E-05,5.26125E-05,0.000177871,0.001556262,0.000694331,0.001184802
115,-6.0708E-05,-0.000179566,-4.7848E-05,6.35195E-05,0.00017045,0.001615599,0.000729945,0.001201614
116,-9.536E-06,-0.000119739,-1.83575E-05,7.8619E-05,0.00019326,0.001649194,0.000802234,0.001213398
117,-3.085E-05,-0.000127036,1.64025E-05,6.34865E-05,9.0871E-05,0.001540292,0.00074885,0.001361888
118,8.755E-07,-0.000115655,4.4782E-05,3.6435E-06,5.9188E-05,0.000812799,0.00035324,0.001264878
119,1.6019E-05,-6.3136E-05,0.000145316,2.9765E-06,9.3277E-05,0.000821315,0.000418335,0.001275413
120,-2.19345E-05,-0.000108674,0.000124634,2.56005E-05,-0.000189475,0.000814729,0.000363379,0.001029968
121,-3.4858E-05,-0.000111491,0.000126112,2.2262E-05,-0.000208315,0.000851836,0.000322077,0.000964705
122,-3.80875E-05,-0.000108801,0.000102569,1.24835E-05,-0.000233915,0.0008476,0.000344828,0.000942007
123,-1.39811E-05,-0.000109818,9.33145E-05,1.3992E-05,-0.000248485,0.00084452,0.000386294,0.000953499
124,-1.18201E-05,-0.000116136,9.72415E-05,9.04865E-06,-0.000247795,0.000840064,0.000385057,0.000976049
125,-3.92273E-05,-0.000110697,0.000104282,1.79817E-05,-0.000238884,0.00081474,0.000326906,0.000978503
126,-5.13715E-05,-0.000109866,0.00011785,3.1218E-05,-0.000216275,0.000774384,0.000303731,0.001009651
127,-4.87415E-05,-0.000107705,0.000108902,3.17435E-05,-0.000227317,0.000685752,0.000297085,0.001087774
128,-4.00207E-05,-9.0867E-05,0.000141498,2.73955E-05,-2.2065E-05,0.000715595,0.000382361,0.001345035
129,2.848E-05,-2.66995E-05,0.000100895,6.63215E-05,8.7045E-05,0.000802704,0.000421173,0.001398161
130,1.087E-05,-9.8642E-05,9.2204E-05,5.15095E-05,3.09425E-05,0.000934791,0.000541236,0.001199939
131,7.2795E-06,-0.000137173,9.12995E-05,3.6899E-05,4.50985E-05,0.00102938,0.000573896,0.001033709
132,6.2545E-06,-0.000161254,7.3664E-05,3.21495E-05,7.69345E-05,0.001086004,0.000581898,0.000850864
133,6.4555E-06,-0.000154547,7.15515E-05,3.3237E-05,0.000114195,0.001112107,0.000615038,0.000771478
134,7.231E-06,-0.000149373,7.8157E-05,3.32335E-05,0.000126936,0.001110629,0.000619292,0.000813108
135,-5.074E-06,-0.000184846,-7.23485E-05,-2.975E-05,7.5538E-05,0.00116045,0.000605475,0.000872143
136,-4.0908E-05,-0.000202209,-9.2E-05,-0.000113595,0.000214502,0.001844559,0.000755328,0.001058858
137,-3.9901E-05,-0.000248484,-3.54535E-05,-1.43905E-05,0.000181954,0.001638857,0.000686687,0.001133725
138,-6.0711E-05,-0.000215441,-1.147E-06,1.49385E-05,0.000207953,0.001588907,0.000679582,0.001233533
139,-6.0788E-05,-0.000208139,1.39625E-05,2.05385E-05,0.000196249,0.001635005,0.00070417,0.001242024
140,-8.3238E-05,-0.000201474,1.2696E-05,1.79785E-05,0.00020374,0.001666915,0.00074016,0.001243838
141,-6.56915E-05,-0.000172995,2.9609E-05,2.93105E-05,0.000115701,0.001586844,0.000698228,0.001427383
142,2.954E-06,-0.000108663,8.9213E-05,3.0325E-06,0.000100583,0.000846461,0.000391621,0.001309671
143,1.13545E-05,-6.60535E-05,0.000150766,8.9625E-06,2.8703E-05,0.000826333,0.000444091,0.001282428
144,-1.04417E-05,-0.000103306,0.000132557,3.07192E-05,-0.000180785,0.00088289,0.000346676,0.001004309
145,-8.33375E-06,-9.74015E-05,0.000132412,1.6041E-05,-0.000194498,0.000888333,0.000338059,0.000975661
146,-3.29688E-05,-0.000105124,0.000112068,7.71525E-06,-0.000213202,0.000864935,0.000346296,0.000967115
147,-2.2564E-05,-0.000100587,0.000112228,2.2497E-05,-0.000200741,0.000876226,0.000368882,0.000993922
148,-4.20995E-05,-0.000115954,0.000116348,2.02245E-05,-0.000203587,0.000829689,0.000297688,0.001018573
149,-5.1953E-05,-0.000109679,0.000111636,9.273E-06,-0.000182077,0.000679631,0.00030499,0.001230199
150,3.97225E-05,-0.0001125,9.451E-06,8.14345E-05,0.000177514,0.001310975,0.000628024,0.001525269
151,8.72605E-05,-8.0794E-05,-4.3839E-05,0.000109338,0.000363212,0.001439992,0.000709932,0.001529843
152,0.004202424,-0.002663139,-0.002846936,0.004075211,0.004438766,0.034503517,0.02345243,0.024024694
153,0.001169261,-0.004627565,-0.002630801,0.001227209,-0.002454941,0.088641794,0.02792008,0.038415354
154,0.000123803,-9.28455E-05,9.1477E-05,-1.24165E-05,0.000477698,0.002156679,0.000706836,0.001033474
155,-3.247E-05,-0.000259083,-0.000160232,-0.000113945,0.000280655,0.001808316,0.000634696,0.001072042
156,-3.49405E-05,-0.000214876,-0.000120987,-0.000113603,0.000265266,0.001839506,0.000669408,0.001139461
157,-3.9462E-05,-0.000202216,-0.000122402,-0.00011361,0.000302247,0.001867879,0.000697785,0.001145777
158,-4.0308E-05,-0.000228923,-0.000134713,-0.000113603,0.000339947,0.00186149,0.000696003,0.000889572
159,-5.0514E-05,-0.001574002,-0.002245896,-0.001130212,0.000379052,0.002117082,0.00067617,-0.0048853
160,0.002862305,0.001041524,0.000862173,0.0044671,0.012344166,0.058519369,0.020021564,-0.001793292
161,0.001344815,-0.011705885,0.01853474,0.02377539,0.01775985,0.16514725,0.083277715,0.083620585
162,-0.000900765,-0.02037005,-0.003373915,0.00439589,-0.00365951,0.13612305,0.059024635,0.090475475
163,-0.000465045,-0.01447329,-0.001181075,0.005169155,0.001725475,0.140092285,0.063803675,0.07482535
164,-0.000944263,-0.002433152,-0.000113151,0.003626544,-0.003509234,0.097740155,0.035234783,0.014884087
165,-4.0192E-05,-0.000150576,-4.0427E-05,8.14535E-05,0.000257664,0.001623609,0.000771262,0.001340256
166,-2.6364E-05,-0.00019589,-4.27775E-05,9.13105E-05,0.000236881,0.001623203,0.000818756,0.001349483
167,-3.51035E-05,-0.000116114,9.305E-05,-4.6056E-05,6.50735E-05,0.000813142,0.000330668,0.001332279
168,-4.44125E-05,-8.02505E-05,0.000166122,1.1042E-05,3.5416E-05,0.000793491,0.000431277,0.001305092
169,-5.9172E-05,-0.000132665,0.000106935,-1.058E-06,-0.000187375,0.000764836,0.000324179,0.001054213
170,-2.0295E-05,-0.000100892,0.000128705,4.0449E-05,-0.000176404,0.000841674,0.000336811,0.001026198
171,-1.98525E-05,-9.88505E-05,0.000126615,4.26805E-05,-0.000183203,0.000839234,0.000328507,0.001031063
172,-5.46872E-05,-9.951E-05,0.000117455,4.50723E-05,-0.000201683,0.000791848,0.000327297,0.001059562
173,-2.6345E-05,-0.00011444,0.000140925,1.00815E-05,-1.0333E-05,0.000686464,0.000358143,0.001366098
174,0.000111795,-9.9551E-05,-4.305E-05,0.000108018,0.000256247,0.001488522,0.000750318,0.001500328
175,0.00331048,-0.002131074,-0.005681031,0.003151365,0.004036717,0.012100004,0.009719819,0.012154967
176,0.002088995,-0.005170755,-0.0031995,0.003546223,-0.004721838,0.099736435,0.03788566,0.06770336
177,0.000277844,-0.007612801,0.000792189,0.007977619,0.007933774,0.137759634,0.062679939,0.094950169
178,-0.000720252,-0.00101845,0.000182353,-0.001986266,0.003038504,0.00482148,0.003186893,0.00164032
179,-4.4595E-06,-0.000276663,-0.000175308,-9.17585E-05,0.000268161,0.001769844,0.000600602,0.001142059
180,-3.7331E-05,-0.000284469,-0.000182366,-0.000127617,0.000201206,0.001743094,0.000570622,0.001225887
181,-3.24775E-05,-0.000262272,-0.000164598,-0.000120425,0.00023836,0.001784433,0.000611958,0.001195237
182,-5.1225E-06,-0.000270572,-0.000174028,-9.3829E-05,0.00033509,0.001818434,0.000631257,0.000793711
183,-0.000670705,-0.000789299,0.000415236,-0.001940721,0.00578186,0.027864357,0.004470082,-0.005026006
184,-0.00473996,-0.00938606,-0.002492085,-0.004567265,0.02847238,0.116807465,0.056514755,-0.002905005
185,-0.00249104,-0.017760555,0.01198123,0.01560903,0.01273392,0.16028242,0.079955555,0.087229855
186,-0.00109895,-0.016189965,-0.00088008,0.00424555,0.001645315,0.139904645,0.0650122,0.095788515
187,-0.003771595,-0.0147277,-0.00306337,0.00396436,0.003358195,0.141617565,0.06528903,0.0788749
188,-0.003992905,-0.013981555,-0.00687399,0.00364321,0.004543015,0.143111535,0.065044885,0.060054535
189,-7.65355E-05,-0.000187292,1.2795E-06,2.1116E-05,0.0002601,0.001689969,0.000739124,0.001318564
190,-8.7619E-05,-0.000231118,-3.3539E-05,5.703E-06,0.000246844,0.001716807,0.000770318,0.001333561
191,-8.6978E-05,-0.000226621,-0.000010431,-8.4415E-06,7.64805E-05,0.001081798,0.000503886,0.001466863
192,-1.948E-06,-0.000076085,0.000164837,1.51215E-05,8.8174E-05,0.000845962,0.000433654,0.00131381
193,-5.45045E-05,-0.000158821,0.000108593,-1.7598E-05,-0.000165988,0.000782576,0.000327215,0.001143005
194,-4.6287E-05,-0.000151295,0.000117194,-1.22305E-05,-0.000206959,0.000784587,0.000290077,0.00101519
195,-6.96775E-05,-0.000175018,0.000120722,-3.4384E-05,-0.000215203,0.000756596,0.00024911,0.001009122
196,-0.000111837,-0.000191547,9.41308E-05,-4.65435E-05,-0.000231385,0.000695549,0.000221946,0.001029812
197,-5.20235E-05,-0.000172924,0.000110425,-5.97835E-05,7.8305E-06,0.000663877,0.000257101,0.001351833
198,9.39075E-05,-7.19915E-05,-3.1753E-05,0.000130352,0.000315916,0.001469508,0.000768744,0.001472969
199,0.003762679,-0.003847693,-0.007065313,0.004278249,0.005322478,0.018315723,0.013228208,0.015154463
200,0.002801902,-0.005618843,-0.003221636,0.003510887,-0.00347726,0.079024248,0.024411931,0.049384318
201,-0.001000658,-0.003464817,-0.003250495,0.002654975,-0.000782958,0.10021189,0.032228205,0.057056865
202,3.5207E-05,-0.000143687,-0.000113256,-8.5355E-05,0.000391867,0.001885213,0.000659947,0.000981397
203,2.68075E-05,-0.000197582,-0.000251636,-2.0794E-05,0.000167735,0.001593154,0.00057358,0.00131151
204,7.306E-06,-0.00020951,-0.000238344,-4.331E-05,0.000100211,0.001656872,0.000595873,0.001134456
205,9.868E-06,-0.000249006,-0.00024607,-8.84865E-05,0.000127762,0.001709257,0.000597343,0.001085565
206,8.02085E-05,-0.000232805,-0.000232835,-6.86385E-05,0.000284332,0.001825482,0.000641413,0.000677246
207,-0.000653975,-0.000833282,0.000471048,-0.001970387,0.009284213,0.033742108,0.009051601,-0.010810434
208,-0.005047315,-0.010230165,-0.00116608,-0.005002272,0.029130605,0.117751675,0.056095005,-0.02379495
209,0.002373525,-0.01033127,0.01924691,0.024405725,0.022974795,0.16793642,0.089275065,0.077212545
210,-0.00084067,-0.0196075,0.000539765,0.0048277,0.00041734,0.138271615,0.06351858,0.09012745
211,-0.000859975,-0.01557505,0.001266035,0.004710325,0.004663235,0.140646075,0.06665582,0.078545215
212,-0.00186136,-0.01324682,0.000588365,0.004574865,0.008043875,0.14482015,0.06856024,0.06180865
213,-0.00016963,-0.000109411,-8.92315E-05,7.33485E-05,0.000216268,0.001697348,0.000778102,0.001221998
214,-6.5401E-05,-0.000171677,-7.847E-05,6.1433E-05,0.000262282,0.001676273,0.000802014,0.001318902
215,-9.4146E-05,-0.000208759,-1.7308E-05,-1.48865E-05,9.0811E-05,0.00105752,0.000502292,0.001480434
216,-9.7195E-06,-8.24855E-05,0.000142645,-1.0647E-05,9.66855E-05,0.000811361,0.000414602,0.00132465
217,-6.48795E-05,-0.000154309,0.000105266,-4.84175E-05,-0.000129666,0.000745472,0.000299893,0.001144212
218,-7.77138E-05,-0.000152447,9.3784E-05,-3.37105E-05,-0.000198026,0.00075658,0.000272639,0.00101364
219,-6.8035E-05,-0.000149061,0.00011833,-1.8988E-05,-0.000196859,0.000770829,0.00027699,0.00103531
220,-9.3777E-05,-0.000154887,9.90215E-05,-2.54815E-05,-0.000202574,0.000716954,0.000263728,0.001062453
221,-3.7197E-05,-0.000140746,0.000120394,-3.55955E-05,2.11375E-05,0.000665799,0.000280491,0.001387019
222,0.000110634,-2.9411E-05,2.02915E-05,0.000121442,0.000358646,0.001518991,0.000761148,0.001527813
223,0.004342968,0.001358696,-0.005392421,0.004556634,0.005583787,0.027048566,0.020034917,0.025887587
224,0.002478973,-0.004239105,-0.004477445,0.003421591,-0.002876352,0.105981298,0.040861416,0.077354265
225,2.8E-05,-0.016655685,-0.005362645,0.002644605,0.00186309,0.13459787,0.055712615,0.1022171
226,0.002552526,-0.001946697,0.003925656,-0.002416385,0.020736573,0.08432455,0.042171708,0.027530213
227,-0.000844123,-0.000810543,0.000183387,-0.001958365,0.005818192,0.027091083,0.004468491,-0.000869
228,-3.2477E-05,-0.000323354,-0.001110792,-0.000181905,0.000273331,0.001980119,0.000641543,-0.000481974
229,-3.24805E-05,-0.00030031,-0.000886076,-0.000125416,0.00032055,0.002004986,0.00068145,-0.000274703
230,-0.000801012,-0.001617056,-0.002221171,-0.001992591,0.004019269,0.006985502,0.004441477,-0.004862465
231,-0.00080055,-0.000792925,0.000492177,-0.001940729,0.008250146,0.033515402,0.00896083,-0.006198205
232,-0.001891632,-0.0088731,-0.002481012,-0.002531285,0.028323888,0.116380368,0.057516163,0.011257573
233,-0.002641245,-0.01437529,0.015587125,0.0197717,0.01672328,0.16414161,0.082714415,0.10874614
234,-0.002329195,-0.0194922,-0.00118265,0.002711395,-0.000755225,0.13792926,0.06023437,0.10776348
235,-0.00378087,-0.0163334,-0.00172144,0.002162835,0.002799085,0.142051435,0.062485995,0.0976299
236,-0.00440745,-0.006237677,-0.003227078,5.775E-05,0.002128492,0.130126035,0.054677615,0.070863345
237,-5.5445E-05,-0.000184783,-2.5571E-05,-5.626E-06,0.000287979,0.001683018,0.000704299,0.001472213
238,-9.4451E-05,-0.000213716,-5.84795E-05,-1.6436E-05,0.000221319,0.001749225,0.000733878,0.001470931
