,,,Demand,Solar,Wind,Hydro
2030,sc01,01-04 19:00:00+01:00,1268.503835,0.02,2364.8,19.8
2030,sc01,01-04 20:00:00+01:00,1223.518679,0.02,2298,19.8
2030,sc01,01-04 21:00:00+01:00,1161.082385,0.02,2824.4,19.8
2030,sc01,01-04 22:00:00+01:00,1095.93147,0.02,2854,19.8
2030,sc01,01-04 23:00:00+01:00,1059.477981,0.02,2308.8,36.6
2030,sc01,01-05 00:00:00+01:00,1042.414646,0.02,2349.2,19.8
2030,sc01,01-05 01:00:00+01:00,1035.821994,0.02,2510,19.8
2030,sc01,01-05 02:00:00+01:00,1041.251237,0.02,2409.6,22.8
2030,sc01,01-05 03:00:00+01:00,1061.416997,0.02,2452.4,16.8
2030,sc01,01-05 04:00:00+01:00,1099.8095,0.02,2397.6,16.8
2030,sc01,01-05 05:00:00+01:00,1170.001855,0.02,2521.6,16.8
2030,sc01,01-05 06:00:00+01:00,1237.479589,0.02,2787.2,19.8
2030,sc01,01-05 07:00:00+01:00,1259.972167,796.8,2681.2,19.8
2030,sc01,01-05 08:00:00+01:00,1240.969817,1132.8,2655.6,19.8
2030,sc01,01-05 09:00:00+01:00,1218.865042,1301.6,2813.2,22.8
2030,sc01,01-05 10:00:00+01:00,1182.411553,1400,2593.6,19.8
2030,sc01,01-05 11:00:00+01:00,1159.14337,1403.6,2514.8,22.8
2030,sc01,01-05 12:00:00+01:00,1134.711776,1396.4,2363.2,22.8
2030,sc01,01-05 13:00:00+01:00,1116.872835,1304,2029.2,25.2
2030,sc01,01-05 14:00:00+01:00,1117.260638,1086,2325.6,22.8
2030,sc01,01-05 15:00:00+01:00,1126.567912,632,1733.6,25.2
2030,sc01,01-05 16:00:00+01:00,1215.762617,0.02,1119.6,22.8
2030,sc01,01-05 17:00:00+01:00,1341.798614,0.02,0.004,25.2
2030,sc01,01-05 18:00:00+01:00,1338.308387,0.02,15.6,25.2
2030,sc01,01-05 19:00:00+01:00,1311.162172,0.02,104.8,22.8
2030,sc01,01-05 20:00:00+01:00,1254.155121,0.02,1679.2,25.2
2030,sc01,01-05 21:00:00+01:00,1166.511628,0.02,2253.6,34.2
2030,sc01,01-05 22:00:00+01:00,1086.236393,0.02,2158.4,22.8
2030,sc01,01-05 23:00:00+01:00,1056.76336,0.02,2633.2,36.6
2030,sc01,01-06 00:00:00+01:00,1046.68048,0.02,2600.8,22.8
2030,sc01,01-06 01:00:00+01:00,1048.231692,0.02,2603.6,22.8
2030,sc01,01-06 02:00:00+01:00,1067.234043,0.02,2668.8,22.8
2030,sc01,01-06 03:00:00+01:00,1112.994805,0.02,2644.8,22.8
2030,sc01,01-06 04:00:00+01:00,1242.521029,0.02,2604,22.8
2030,sc01,01-06 05:00:00+01:00,1430.605517,0.02,2598.8,22.8
2030,sc01,01-06 06:00:00+01:00,1508.166131,0.02,2556.8,79.2
2030,sc01,01-06 07:00:00+01:00,1428.666502,812.4,2582.4,76.2
2030,sc01,01-06 08:00:00+01:00,1342.962024,1178,2688.8,76.2
2030,sc01,01-06 09:00:00+01:00,1300.69149,1359.6,2780.4,79.2
2030,sc01,01-06 10:00:00+01:00,1268.503835,1437.2,2822.8,76.2
2030,sc01,01-06 11:00:00+01:00,1243.296635,1457.2,2816.4,79.2
2030,sc01,01-06 12:00:00+01:00,1218.477239,1408.4,2788.4,76.2
2030,sc01,01-06 13:00:00+01:00,1199.087086,1314,2753.2,76.2
2030,sc01,01-06 14:00:00+01:00,1195.596858,1104.8,2682,79.2
2030,sc01,01-06 15:00:00+01:00,1202.577313,650,2657.6,76.2
2030,sc01,01-06 16:00:00+01:00,1286.730579,0.02,2656.4,85.2
2030,sc01,01-06 17:00:00+01:00,1422.849455,0.02,2630.8,155.4
2030,sc01,01-06 18:00:00+01:00,1423.237258,0.02,2624.8,153
2030,sc01,01-06 19:00:00+01:00,1394.539831,0.02,2644,155.4
2030,sc01,01-06 20:00:00+01:00,1344.901039,0.02,2671.6,155.4
2030,sc01,01-06 21:00:00+01:00,1238.642999,0.02,2714.8,155.4
2030,sc01,01-06 22:00:00+01:00,1149.448293,0.02,2801.2,155.4
2030,sc01,01-06 23:00:00+01:00,1105.238743,0.02,2848.8,118.8
2030,sc01,01-07 00:00:00+01:00,1104.463137,0.02,2854,25.2
2030,sc01,01-07 01:00:00+01:00,1100.972909,0.02,2846.8,22.8
2030,sc01,01-07 02:00:00+01:00,1119.199654,0.02,2845.6,25.2
2030,sc01,01-07 03:00:00+01:00,1165.736022,0.02,2836.8,22.8
2030,sc01,01-07 04:00:00+01:00,1297.589065,0.02,2829.2,25.2
2030,sc01,01-07 05:00:00+01:00,1484.122341,0.02,2807.6,25.2
2030,sc01,01-07 06:00:00+01:00,1548.885452,0.02,2843.2,76.2
2030,sc01,01-07 07:00:00+01:00,1470.16143,814.8,2818.4,76.2
2030,sc01,01-07 08:00:00+01:00,1365.066799,1158,2805.6,85.2
2030,sc01,01-07 09:00:00+01:00,1304.181717,1304,2815.6,76.2
2030,sc01,01-07 10:00:00+01:00,1257.257546,1385.6,2837.6,79.2
2030,sc01,01-07 11:00:00+01:00,1230.886938,1418.4,2836.4,76.2
2030,sc01,01-07 12:00:00+01:00,1223.518679,1402,2823.6,76.2
2030,sc01,01-07 13:00:00+01:00,1194.821252,1312.8,2817.6,79.2
2030,sc01,01-07 14:00:00+01:00,1186.677388,1116.8,2836,76.2
2030,sc01,01-07 15:00:00+01:00,1197.148071,653.2,2837.6,79.2
2030,sc01,01-07 16:00:00+01:00,1280.137927,0.02,2852.8,150
2030,sc01,01-07 17:00:00+01:00,1408.112939,0.02,2854,155.4
2030,sc01,01-07 18:00:00+01:00,1404.234909,0.02,2854,153
2030,sc01,01-07 19:00:00+01:00,1391.049604,0.02,2854,124.8
2030,sc01,01-07 20:00:00+01:00,1332.879144,0.02,2853.2,65.4
2030,sc01,01-07 21:00:00+01:00,1242.133226,0.02,2837.2,22.8
2030,sc01,01-07 22:00:00+01:00,1147.509277,0.02,2852.8,22.8
2030,sc01,01-07 23:00:00+01:00,1118.424047,0.02,2846,22.8
2030,sc01,01-08 00:00:00+01:00,1100.585107,0.02,2457.2,25.2
2030,sc01,01-08 01:00:00+01:00,1110.667986,0.02,2784,22.8
2030,sc01,01-08 02:00:00+01:00,1130.058139,0.02,2792,22.8
2030,sc01,01-08 03:00:00+01:00,1194.821252,0.02,2117.6,25.2
2030,sc01,01-08 04:00:00+01:00,1317.754824,0.02,1099.6,22.8
2030,sc01,01-08 05:00:00+01:00,1522.902647,0.02,273.6,22.8
2030,sc01,01-08 06:00:00+01:00,1609.770535,0.02,276,25.2
2030,sc01,01-08 07:00:00+01:00,1527.556284,810,1771.2,22.8
2030,sc01,01-08 08:00:00+01:00,1401.520287,1141.2,2599.2,22.8
2030,sc01,01-08 09:00:00+01:00,1328.61331,1306.8,2490,22.8
2030,sc01,01-08 10:00:00+01:00,1278.198911,1398,2623.2,22.8
2030,sc01,01-08 11:00:00+01:00,1238.642999,1406,2854,22.8
2030,sc01,01-08 12:00:00+01:00,1217.31383,1372,2854,22.8
2030,sc01,01-08 13:00:00+01:00,1197.923676,1269.6,2854,25.2
2030,sc01,01-08 14:00:00+01:00,1189.392009,1102,2854,25.2
2030,sc01,01-08 15:00:00+01:00,1208.006556,665.6,2836.8,79.2
2030,sc01,01-08 16:00:00+01:00,1287.893988,0.02,2844,76.2
2030,sc01,01-08 17:00:00+01:00,1423.237258,0.02,2854,79.2
2030,sc01,01-08 18:00:00+01:00,1420.522638,0.02,2821.2,54
2030,sc01,01-08 19:00:00+01:00,1398.805665,0.02,2816.8,25.2
2030,sc01,01-08 20:00:00+01:00,1360.025359,0.02,2832.4,22.8
2030,sc01,01-08 21:00:00+01:00,1258.420955,0.02,2840.4,22.8
2030,sc01,01-08 22:00:00+01:00,1166.899432,0.02,2828.8,22.8
2030,sc01,01-08 23:00:00+01:00,1126.567912,0.02,2850,22.8
2030,sc01,01-09 00:00:00+01:00,1115.709426,0.02,2851.6,16.8
2030,sc01,01-09 01:00:00+01:00,1118.424047,0.02,2854,16.8
2030,sc01,01-09 02:00:00+01:00,1141.304428,0.02,2854,16.8
2030,sc01,01-09 03:00:00+01:00,1195.596858,0.02,2854,16.8
2030,sc01,01-09 04:00:00+01:00,1329.77672,0.02,2854,16.8
2030,sc01,01-09 05:00:00+01:00,1534.924543,0.02,2848.4,16.8
2030,sc01,01-09 06:00:00+01:00,1601.62667,0.02,2805.6,19.8
2030,sc01,01-09 07:00:00+01:00,1523.678253,802.4,2672,14.4
2030,sc01,01-09 08:00:00+01:00,1407.337333,1152.4,2389.2,19.8
2030,sc01,01-09 09:00:00+01:00,1331.715735,1322.4,2269.2,14.4
2030,sc01,01-09 10:00:00+01:00,1278.974518,1401.6,1147.2,16.8
2030,sc01,01-09 11:00:00+01:00,1246.399059,1423.6,336.4,16.8
2030,sc01,01-09 12:00:00+01:00,1220.416254,1416.8,516.4,16.8
2030,sc01,01-09 13:00:00+01:00,1199.862692,1330.4,585.6,16.8
2030,sc01,01-09 14:00:00+01:00,1189.779812,1112,342.4,16.8
2030,sc01,01-09 15:00:00+01:00,1196.372464,673.2,474.8,19.8
2030,sc01,01-09 16:00:00+01:00,1273.157471,0.02,515.6,19.8
2030,sc01,01-09 17:00:00+01:00,1412.766576,0.02,486.4,19.8
2030,sc01,01-09 18:00:00+01:00,1415.481198,0.02,2126.4,22.8
2030,sc01,01-09 19:00:00+01:00,1394.927635,0.02,2676,22.8
2030,sc01,01-09 20:00:00+01:00,1350.718085,0.02,2660,25.2
2030,sc01,01-09 21:00:00+01:00,1258.420955,0.02,2619.2,28.2
2030,sc01,01-09 22:00:00+01:00,1163.0214,0.02,2614,28.2
2030,sc01,01-09 23:00:00+01:00,1112.607001,0.02,2609.6,28.2
2030,sc01,01-10 00:00:00+01:00,1102.911924,0.02,2634,22.8
2030,sc01,01-10 01:00:00+01:00,1103.687531,0.02,2628,19.8
2030,sc01,01-10 02:00:00+01:00,1122.302079,0.02,2629.2,16.8
2030,sc01,01-10 03:00:00+01:00,1172.716477,0.02,2656.4,19.8
2030,sc01,01-10 04:00:00+01:00,1301.079293,0.02,2637.2,19.8
2030,sc01,01-10 05:00:00+01:00,1502.349085,0.02,2659.6,19.8
2030,sc01,01-10 06:00:00+01:00,1568.275606,0.02,2728.4,19.8
2030,sc01,01-10 07:00:00+01:00,1489.939386,817.6,2808.4,19.8
2030,sc01,01-10 08:00:00+01:00,1380.578922,1172.8,2781.6,19.8
2030,sc01,01-10 09:00:00+01:00,1310.774369,1338.8,2752,19.8
2030,sc01,01-10 10:00:00+01:00,1269.667244,1427.2,2755.2,22.8
2030,sc01,01-10 11:00:00+01:00,1233.213755,1452.4,2767.6,19.8
2030,sc01,01-10 12:00:00+01:00,1204.128526,1407.6,2779.2,19.8
2030,sc01,01-10 13:00:00+01:00,1196.372464,1314.4,2746.8,19.8
2030,sc01,01-10 14:00:00+01:00,1178.533523,1132.4,2729.6,19.8
2030,sc01,01-10 15:00:00+01:00,1183.574963,700,2739.2,19.8
2030,sc01,01-10 16:00:00+01:00,1239.030802,0.02,2818.4,19.8
2030,sc01,01-10 17:00:00+01:00,1343.349826,0.02,2849.6,19.8
2030,sc01,01-10 18:00:00+01:00,1322.020658,0.02,2847.2,22.8
2030,sc01,01-10 19:00:00+01:00,1299.915883,0.02,2848.4,19.8
2030,sc01,01-10 20:00:00+01:00,1266.177017,0.02,2849.6,22.8
2030,sc01,01-10 21:00:00+01:00,1196.760267,0.02,2590.8,25.2
2030,sc01,01-10 22:00:00+01:00,1117.260638,0.02,2633.6,22.8
2030,sc01,01-10 23:00:00+01:00,1068.397452,0.02,2763.2,22.8
2030,sc01,01-11 00:00:00+01:00,1045.517071,0.02,2718.8,22.8
2030,sc01,01-11 01:00:00+01:00,1039.312222,0.02,2754.8,19.8
2030,sc01,01-11 02:00:00+01:00,1040.475631,0.02,2772,19.8
2030,sc01,01-11 03:00:00+01:00,1058.702375,0.02,2750.8,19.8
2030,sc01,01-11 04:00:00+01:00,1098.258288,0.02,2734.8,22.8
2030,sc01,01-11 05:00:00+01:00,1171.553067,0.02,2331.2,19.8
2030,sc01,01-11 06:00:00+01:00,1247.174666,0.02,1037.2,16.8
2030,sc01,01-11 07:00:00+01:00,1288.281792,770.804,153.6,19.8
2030,sc01,01-11 08:00:00+01:00,1286.342776,1084.003,180.8,19.8
2030,sc01,01-11 09:00:00+01:00,1255.31853,1262.801,210.4,19.8
2030,sc01,01-11 10:00:00+01:00,1233.601558,1316.8,179.6,19.8
2030,sc01,01-11 11:00:00+01:00,1196.760267,1365.6,74.4,16.8
2030,sc01,01-11 12:00:00+01:00,1173.492083,1318.001,272,16.8
2030,sc01,01-11 13:00:00+01:00,1142.467837,1202.002,615.2,16.8
2030,sc01,01-11 14:00:00+01:00,1134.323973,996.004,549.2,19.8
2030,sc01,01-11 15:00:00+01:00,1141.692232,573.205,542,16.8
2030,sc01,01-11 16:00:00+01:00,1206.843148,0.02,941.2,19.8
2030,sc01,01-11 17:00:00+01:00,1313.876794,0.02,1442,16.8
2030,sc01,01-11 18:00:00+01:00,1296.813459,0.02,2139.2,22.8
2030,sc01,01-11 19:00:00+01:00,1268.116032,0.02,2042,19.8
2030,sc01,01-11 20:00:00+01:00,1223.518679,0.02,2525.6,19.8
2030,sc01,01-11 21:00:00+01:00,1157.592158,0.02,2302,19.8
2030,sc01,01-11 22:00:00+01:00,1083.133968,0.02,2360.4,19.8
2030,sc01,01-11 23:00:00+01:00,1040.863434,0.02,2592.8,36.6
2030,sc01,01-12 00:00:00+01:00,1012.55381,0.02,2645.2,19.8
2030,sc01,01-12 01:00:00+01:00,1000.144112,0.02,2778.4,19.8
2030,sc01,01-12 02:00:00+01:00,989.2856259,0.02,2750.8,22.8
2030,sc01,01-12 03:00:00+01:00,992.3880505,0.02,2841.6,16.8
2030,sc01,01-12 04:00:00+01:00,1026.902523,0.02,2840.8,16.8
2030,sc01,01-12 05:00:00+01:00,1090.89003,0.02,2838.8,16.8
2030,sc01,01-12 06:00:00+01:00,1152.550718,0.02,2712.4,19.8
2030,sc01,01-12 07:00:00+01:00,1190.167615,804.001,2698.4,19.8
2030,sc01,01-12 08:00:00+01:00,1198.311479,1158,2638,19.8
2030,sc01,01-12 09:00:00+01:00,1194.821252,1324,2613.2,22.8
2030,sc01,01-12 10:00:00+01:00,1178.921326,1425.2,2467.6,19.8
2030,sc01,01-12 11:00:00+01:00,1163.797007,1432,2297.2,22.8
2030,sc01,01-12 12:00:00+01:00,1138.97761,1447.6,2315.6,22.8
2030,sc01,01-12 13:00:00+01:00,1114.93382,1368.8,2350,25.2
2030,sc01,01-12 14:00:00+01:00,1116.09723,1148.4,2296,22.8
2030,sc01,01-12 15:00:00+01:00,1134.323973,720.4,2254,25.2
2030,sc01,01-12 16:00:00+01:00,1216.15042,0.02,2325.2,22.8
2030,sc01,01-12 17:00:00+01:00,1358.861949,0.02,2410.8,25.2
2030,sc01,01-12 18:00:00+01:00,1359.249752,0.02,2168.4,25.2
2030,sc01,01-12 19:00:00+01:00,1327.062098,0.02,2180.8,22.8
2030,sc01,01-12 20:00:00+01:00,1288.281792,0.02,1977.6,25.2
2030,sc01,01-12 21:00:00+01:00,1225.457694,0.02,1769.2,34.2
2030,sc01,01-12 22:00:00+01:00,1140.528822,0.02,1685.6,22.8
2030,sc01,01-12 23:00:00+01:00,1099.8095,0.02,1674.8,36.6
2030,sc01,01-13 00:00:00+01:00,1092.829045,0.02,1800.8,28.2
2030,sc01,01-13 01:00:00+01:00,1096.707076,0.02,1725.6,22.8
2030,sc01,01-13 02:00:00+01:00,1113.770411,0.02,1776.4,25.2
2030,sc01,01-13 03:00:00+01:00,1168.450643,0.02,2124.8,22.8
2030,sc01,01-13 04:00:00+01:00,1266.564819,0.02,1775.6,22.8
2030,sc01,01-13 05:00:00+01:00,1410.439757,0.02,1365.2,25.2
2030,sc01,01-13 06:00:00+01:00,1490.32719,0.02,1235.6,22.8
2030,sc01,01-13 07:00:00+01:00,1486.836961,848.4,1224.4,19.8
2030,sc01,01-13 08:00:00+01:00,1440.688396,1237.2,1286.4,16.8
2030,sc01,01-13 09:00:00+01:00,1406.94953,1427.2,625.6,19.8
2030,sc01,01-13 10:00:00+01:00,1364.291192,1520.8,711.6,19.8
2030,sc01,01-13 11:00:00+01:00,1307.284142,1566.4,518.8,19.8
2030,sc01,01-13 12:00:00+01:00,1268.891638,1527.6,944.8,22.8
2030,sc01,01-13 13:00:00+01:00,1230.886938,1422.4,824,25.2
2030,sc01,01-13 14:00:00+01:00,1216.926027,1196,1386.8,28.2
2030,sc01,01-13 15:00:00+01:00,1230.886938,738.8,2020.8,22.8
2030,sc01,01-13 16:00:00+01:00,1355.371722,0.02,2023.2,25.2
2030,sc01,01-13 17:00:00+01:00,1496.532038,0.02,2676.4,22.8
2030,sc01,01-13 18:00:00+01:00,1506.227116,0.02,2594.8,25.2
2030,sc01,01-13 19:00:00+01:00,1481.407719,0.02,2588.8,22.8
2030,sc01,01-13 20:00:00+01:00,1444.954231,0.02,2690.8,22.8
2030,sc01,01-13 21:00:00+01:00,1340.635206,0.02,2653.2,25.2
2030,sc01,01-13 22:00:00+01:00,1239.030802,0.02,2600,22.8
2030,sc01,01-13 23:00:00+01:00,1217.701632,0.02,2667.6,22.8
2030,sc01,01-14 00:00:00+01:00,1208.006556,0.02,2766.8,31.2
2030,sc01,01-14 01:00:00+01:00,1215.374814,0.02,2762.8,22.8
2030,sc01,01-14 02:00:00+01:00,1244.460044,0.02,2780.4,22.8
2030,sc01,01-14 03:00:00+01:00,1306.896338,0.02,2806,22.8
2030,sc01,01-14 04:00:00+01:00,1453.098095,0.02,2784,22.8
2030,sc01,01-14 05:00:00+01:00,1679.575086,0.02,2826,22.8
2030,sc01,01-14 06:00:00+01:00,1763.34055,0.02,2826.8,22.8
2030,sc01,01-14 07:00:00+01:00,1650.489857,824.4,2819.2,22.8
2030,sc01,01-14 08:00:00+01:00,1507.778328,1183.2,2844.4,16.8
2030,sc01,01-14 09:00:00+01:00,1414.705591,1359.2,2844,22.8
2030,sc01,01-14 10:00:00+01:00,1339.859599,1421.2,2844.4,22.8
2030,sc01,01-14 11:00:00+01:00,1292.547625,1472.4,2854,22.8
2030,sc01,01-14 12:00:00+01:00,1248.725878,1449.2,2853.2,22.8
2030,sc01,01-14 13:00:00+01:00,1221.967467,1354,2680.4,22.8
2030,sc01,01-14 14:00:00+01:00,1203.352919,1200.4,2397.6,22.8
2030,sc01,01-14 15:00:00+01:00,1218.865042,751.6,2464,22.8
2030,sc01,01-14 16:00:00+01:00,1310.386567,0.02,2072.4,22.8
2030,sc01,01-14 17:00:00+01:00,1480.632112,0.02,1813.6,25.2
2030,sc01,01-14 18:00:00+01:00,1496.919842,0.02,1740.4,22.8
2030,sc01,01-14 19:00:00+01:00,1488.775978,0.02,1597.2,22.8
2030,sc01,01-14 20:00:00+01:00,1458.139534,0.02,1875.2,22.8
2030,sc01,01-14 21:00:00+01:00,1344.125433,0.02,1168.4,22.8
2030,sc01,01-14 22:00:00+01:00,1252.603909,0.02,1032.4,22.8
2030,sc01,01-14 23:00:00+01:00,1203.740723,0.02,1251.2,22.8
2030,sc01,01-15 00:00:00+01:00,1192.494434,0.02,1868.4,28.2
2030,sc01,01-15 01:00:00+01:00,1191.718827,0.02,1762,22.8
2030,sc01,01-15 02:00:00+01:00,1209.169965,0.02,2573.2,28.2
2030,sc01,01-15 03:00:00+01:00,1268.891638,0.02,2486.8,25.2
2030,sc01,01-15 04:00:00+01:00,1422.461653,0.02,1836.4,22.8
2030,sc01,01-15 05:00:00+01:00,1629.160688,0.02,794.4,22.8
2030,sc01,01-15 06:00:00+01:00,1702.067664,0.02,1415.2,22.8
2030,sc01,01-15 07:00:00+01:00,1616.363187,818.8,1529.6,25.2
2030,sc01,01-15 08:00:00+01:00,1486.836961,1160.4,1666,22.8
2030,sc01,01-15 09:00:00+01:00,1391.437407,1335.2,1414.4,22.8
2030,sc01,01-15 10:00:00+01:00,1319.306036,1392.8,1239.2,25.2
2030,sc01,01-15 11:00:00+01:00,1277.811108,1385.2,863.6,22.8
2030,sc01,01-15 12:00:00+01:00,1244.460044,1363.601,524.8,19.8
2030,sc01,01-15 13:00:00+01:00,1218.089436,1272.801,607.2,22.8
2030,sc01,01-15 14:00:00+01:00,1204.128526,1079.604,354,22.8
2030,sc01,01-15 15:00:00+01:00,1215.374814,704.404,261.2,22.8
