01-01 12:00:00+01:00,0.0,0.0,0.18257114143971098,0.0,0.0,0.0,0.0,0.0,0.03836641044052315,0.0,0.0,0.0,0.018231580739999975,0.18257114143971098,0.0,0.0,0.0,0.18257114143971098,0.0,0.0,0.0
01-01 13:00:00+01:00,0.001199304295813935,0.0,0.182010919981071,0.0,0.0,0.0,0.0,0.0,0.02486197657168504,0.0,0.0,0.0,0.0,0.182010919981071,0.0,0.0,0.0,0.182010919981071,0.0,0.0,0.0
01-01 14:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15325248366321695,0.0,0.0,0.0,0.08034063147599957,0.0,0.0,0.0,0.0,0.24818079834275347,0.0,0.0,0.0
01-01 15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.14611450950245586,0.0,0.0,0.14611450950245608,0.0,0.0,0.0,0.6974495136692274,0.0,0.14611450950245586,0.0,0.0,0.0753577643009265,0.0,0.0,0.0
01-01 16:00:00+01:00,0.0,0.0,0.0,0.4126055187877963,0.0,0.1577378218249348,0.0,0.0,0.1577378218249348,0.0,0.0,0.0,0.4126055187877963,0.0,0.1577378218249348,0.0,0.0,0.0,0.0,0.0,0.13558613262025448
01-01 17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053725613757963496,0.0,0.0,0.0
01-01 18:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 20:00:00+01:00,0.01713498603797798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 22:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 02:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 04:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 06:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01630025461275225,0.0,0.0,0.0
01-02 08:00:00+01:00,0.0,0.0,0.22831256617735884,0.3322375843208888,0.0,0.16300847202826452,0.0,0.0,0.16300847202826674,0.08860166787199819,0.0,0.0,0.3322375843208888,0.0,0.16300847202826452,0.018685331850015058,0.0,0.0,0.049022754320143844,0.0,0.3322375843208888
01-02 09:00:00+01:00,0.0,0.0,0.0,0.3321469401919348,0.0,0.16314417624444433,0.0,0.0,0.16314417624444444,0.09054567974905654,0.0,0.0,0.3321469401919348,0.0,0.16314417624444433,0.0,0.0,0.10693981920395379,0.0,0.0,0.3193712773560815
01-02 10:00:00+01:00,0.0,0.0,0.0,0.33227772108193887,0.0,0.1629483828888887,0.0,0.0,0.16294838288888888,0.06643109115081951,0.0,0.0,0.33227772108193887,0.0,0.1629483828888887,0.0,0.0,0.1106081988248957,0.0,0.0,0.3258057895895764
01-02 11:00:00+01:00,0.0508784248761055,0.0,0.11038286918454754,0.3326615085123119,0.0,0.16237381095555548,0.0,0.0,0.16237381095555553,0.0016301251191616281,0.0,0.0,0.3326615085123119,0.0,0.16237381095555548,0.0,0.0,0.0,0.0,0.0,0.29269330171461
01-02 12:00:00+01:00,0.07731398519393652,0.0,0.0,0.3604348442328068,0.0,0.15661146936545634,0.0,0.0,0.1566114693654561,0.0,0.0,0.0,0.3604348442328068,0.0,0.15661146936545634,0.0,0.0,0.017827857833302485,0.0,0.0,0.22638776065399152
01-02 13:00:00+01:00,0.08165469655271312,0.0,0.0,0.36746672382918666,0.0,0.1551986712986675,0.0,0.0,0.15519867129866793,0.0,0.0,0.0,0.36746672382918666,0.0,0.1551986712986675,0.0,0.0,0.014763142706122112,0.0,0.0,0.2113740244735165
01-02 14:00:00+01:00,0.05206162846402771,0.0,0.0,0.31054667250015355,0.0,0.159430314208014,0.0,0.0,0.15943031420801335,0.0,0.0,0.0,0.7225485167598977,0.0,0.159430314208014,0.0,0.0,0.3066474987671043,0.0,0.0,0.0
01-02 15:00:00+01:00,0.0,0.0,0.24772521054661523,0.0,0.0,0.0,0.0,0.0,0.13075006880129947,0.0,0.0,0.0,0.5515473249799995,0.24772521054661523,0.21769986341075098,0.0,0.0,0.24772521054661523,0.0,0.0,0.0
01-02 16:00:00+01:00,0.0,0.0,0.23243032796774554,0.0,0.0,0.23150604078817394,0.0,0.0,0.14787949225486954,0.03724786022374095,0.0,0.0,0.7627796875039999,0.23243032796774554,0.0,0.0,0.0,0.23243032796774557,0.0,0.2825548336137099,0.0
01-02 17:00:00+01:00,0.0,0.0011767761173311305,0.20636356927436927,0.20875251840199993,0.0,0.0,0.0,0.0,0.23478356946231677,0.08891016827749168,0.0,0.0,0.0,0.20636356927436927,0.0,0.01451949516752496,0.0,0.20636356927436927,0.0,0.0,0.0
01-02 18:00:00+01:00,0.04863346016090674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14604606287290245,0.0,0.0,0.0
01-02 19:00:00+01:00,0.0727628892879546,0.0,0.15725706890706292,0.0,0.0,0.0,0.0,0.0,0.037270283441910274,0.0,0.0,0.0,0.0,0.15725706890706292,0.0,0.0,0.0,0.15725706890706292,0.0,0.0,0.0
01-02 20:00:00+01:00,0.10065407985460914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03069268183930713,0.0,0.0,0.0
01-02 21:00:00+01:00,0.11106124863866665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 22:00:00+01:00,0.10609740105847434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 23:00:00+01:00,0.043265475130446755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03 02:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03 04:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03 06:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03 07:00:00+01:00,0.0,0.0,0.08055744818084998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565568155604894,0.0,0.0,0.0,0.1565568155604894,0.0,0.0,0.0
01-03 08:00:00+01:00,0.0,0.01571947407137239,0.20812249079883216,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.5635200757809242,0.20812249079883216,0.0,0.06249999999999992,0.20483243925863576,0.20812249079883238,0.052362067802425,0.0,0.0
01-03 09:00:00+01:00,0.0,0.0,0.19865238540088212,0.0,0.0,0.0,0.06250000000000001,0.0,0.002889533614535922,0.06250000000000001,0.0,0.0,0.4428441318036982,0.19865238540088215,0.0,0.06250000000000001,0.0,0.19865238540088215,0.010161113448879218,0.029783991447939195,0.0
01-03 10:00:00+01:00,0.0,0.0,0.18834315080262742,0.0,0.0,0.0,0.0,0.0,0.04058705599865538,0.015622276090539438,0.0,0.0,0.15714911361599687,0.18834315080262742,0.0,0.0,0.0,0.18834315080262742,0.0,0.0,0.0
01-03 11:00:00+01:00,0.0,0.0,0.1819652140785757,0.0,0.0,0.0,0.0,0.0,0.016289956376708714,0.0,0.0,0.0,0.09442386374399903,0.1819652140785757,0.0,0.0,0.0,0.1819652140785757,0.0,0.0,0.0
01-03 12:00:00+01:00,0.0,0.0,0.1775421540931983,0.0,0.0,0.0,0.0,0.0,0.03525683222453383,0.0,0.0,0.0,0.0653998265999994,0.1775421540931983,0.0,0.0,0.0,0.1775421540931983,0.0,0.0,0.0
01-03 13:00:00+01:00,0.0,0.0,0.17665631835773898,0.0,0.0,0.0,0.0,0.0,0.04881796709295045,0.0,0.0,0.0,0.06557171799199965,0.17665631835773898,0.0,0.0,0.0,0.17665631835773898,0.0,0.0,0.0
01-03 14:00:00+01:00,0.0,0.0,0.17791058661450387,0.0,0.0,0.0,0.0,0.0,0.029055863702226452,0.0,0.0,0.0,0.05016068714399838,0.17791058661450387,0.0,0.0,0.0,0.17791058661450387,0.0,0.0,0.0
01-03 15:00:00+01:00,0.0,0.0,0.18315119617146336,0.0,0.0,0.0,0.0,0.0,0.01722431471675527,0.0,0.0,0.0,0.08820089034399814,0.18315119617146336,0.0,0.0,0.0,0.18315119617146336,0.0,0.0,0.0
01-03 16:00:00+01:00,0.0,0.0,0.19366081643977884,0.0,0.0,0.0,0.0,0.0,0.040823080188275074,0.05856514234491768,0.0,0.0,0.17495300251199736,0.19366081643977884,0.0,0.0,0.0,0.19366081643977884,0.0,0.0,0.0
01-03 17:00:00+01:00,0.0,0.0,0.20716993154759256,0.16735933520000026,0.006650433564167502,0.0,0.0,0.0,0.2321472679038337,0.07551226729661091,0.0,0.0,0.0,0.20716993154759256,0.0,0.0,0.0,0.20716993154759256,0.0,0.0,0.0
01-03 18:00:00+01:00,0.07402852319357955,0.0,0.15478148795844726,0.0,0.0,0.0,0.0,0.0,0.05281400668786437,0.0,0.0,0.0,0.0,0.15478148795844726,0.0,0.0,0.0,0.15478148795844726,0.0,0.0,0.0
01-03 19:00:00+01:00,0.0,0.0,0.1631513340969145,0.0,0.0,0.0,0.0,0.0,0.1043629975650911,0.0,0.0,0.0,0.16685519814400002,0.1631513340969145,0.0,0.0,0.0,0.1631513340969145,0.05055267953131681,0.0,0.0
01-03 20:00:00+01:00,0.1278086028096667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17754944434234182,0.0,0.0,0.0
01-03 21:00:00+01:00,0.13456900775402053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022850218413527884,0.0,0.0,0.0
01-03 22:00:00+01:00,0.12988780480511442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03 23:00:00+01:00,0.11520240084514646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 00:00:00+01:00,0.03976466517489888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 02:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 04:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 06:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 07:00:00+01:00,0.0,0.0,0.14901260669957594,0.0,0.0,0.0,0.0,0.0,0.05337819482962679,0.0,0.0,0.0,0.051980887108000196,0.14901260669957594,0.0,0.0,0.0,0.14901260669957594,0.0,0.0,0.0
01-04 08:00:00+01:00,0.0,0.0,0.28486901642570084,0.3866740824235555,0.0,0.16207796477777814,0.0625,0.31850735005532754,0.1620779647777777,0.0625,0.1276018067573623,0.0,0.3866740824235555,0.0,0.16207796477777814,0.0625,0.31850735005532754,0.0,0.09724971140300409,0.5065398192179948,0.3866740824235555
01-04 09:00:00+01:00,0.0,0.0,0.283496432683894,0.38587130772044453,0.0,0.16122489806666662,0.0625,0.0,0.16122489806666662,0.0625,0.14611297837000856,0.0,0.38587130772044453,0.0,0.16122489806666662,0.0625,0.35513373699503314,0.0,0.06788630672736194,0.49863963475490025,0.38587130772044453
01-04 10:00:00+01:00,0.004386441352955801,0.0,0.2864649888168278,0.3891772573148975,0.0,0.16071978299999978,0.062499999999999986,0.0,0.16071978300000023,0.062499999999999986,0.0,0.0,0.3891772573148975,0.0,0.16071978299999978,0.062499999999999986,0.20997087358694527,0.0,0.0,0.5298534964676171,0.3891772573148975
01-04 11:00:00+01:00,0.0,0.0,0.24784907884335206,0.36196319087999984,0.0,0.1436499709971577,0.0831855935868866,0.0,0.14364997099715682,0.0831855935868866,0.0,0.0,0.36196319087999984,0.0,0.1436499709971577,0.0831855935868866,0.36003969429050764,0.0,0.0,0.26593065793980497,0.36196319087999984
01-04 12:00:00+01:00,0.0,0.0,0.23105405405405377,0.3457545073986661,0.0,0.14277215366326823,0.08377095472647011,0.0,0.14277215366326867,0.08377095472647011,0.0,0.0,0.3457545073986661,0.0,0.14277215366326823,0.08377095472647011,0.05317648665623259,0.0,0.0,0.1117905665879948,0.3457545073986661
01-04 13:00:00+01:00,0.0,0.0,0.231054054054054,0.33791847790447016,0.0,0.15450355042047526,0.0,0.0,0.15450355042047592,0.0,0.0,0.0,0.33791847790447016,0.0,0.15450355042047526,0.0,0.0,0.0,0.0,0.02792124651599881,0.334582214248412
01-04 14:00:00+01:00,0.0,0.0,0.23105405405405421,0.34143094338044433,0.0,0.14924500384083794,0.0,0.0,0.1492450038408375,0.08134201994314756,0.0,0.0,0.34143094338044433,0.0,0.14924500384083794,0.0,0.0,0.0,0.0,0.07287849042399897,0.34143094338044433
01-04 15:00:00+01:00,0.0,0.0,0.21407010693881134,0.33466001491754627,0.0,0.15938182737777806,0.0,0.0,0.15938182737777776,0.028076649038002877,0.0,0.0,0.33466001491754627,0.0,0.15938182737777806,0.0,0.0,0.0,0.0,0.0,0.31640122335706733
01-04 16:00:00+01:00,0.0,0.0,0.2600641805436479,0.3640228452573331,0.0,0.15885379097777808,0.06250000000000006,0.0,0.1588537909777772,0.06250000000000006,0.0,0.0,0.3640228452573331,0.0,0.15885379097777808,0.06250000000000006,0.186743600124559,0.0,0.0005700267135845637,0.2904764957505749,0.3640228452573331
01-04 17:00:00+01:00,0.0,0.0,0.0,0.3030902195053333,0.0,0.0,0.0625,0.0,0.12766129773800103,0.0625,0.0,0.0,0.3030902195053333,0.0,0.0,0.0625,0.3346865629669865,0.0,0.0,0.0,0.3030902195053333
01-04 18:00:00+01:00,0.07753030448893085,0.0,0.15392992411800754,0.0,0.0,0.0,0.0,0.0,0.040927708100050295,0.0,0.0,0.0,0.0,0.15392992411800754,0.0,0.0,0.0,0.15392992411800754,0.0,0.0,0.0
01-04 19:00:00+01:00,0.10760809720382705,0.0,0.14700165624365968,0.0,0.0,0.0,0.0,0.0,0.003306257739228935,0.0,0.0,0.0,0.0,0.14700165624365968,0.0,0.0,0.0,0.14700165624365968,0.0,0.0,0.0
01-04 20:00:00+01:00,0.12174382213767491,0.0,0.14359108257115605,0.0,0.0,0.0,0.0,0.0,0.007831748553552939,0.0,0.0,0.0,0.0,0.14359108257115605,0.0,0.0,0.0,0.14359108257115605,0.0,0.0,0.0
01-04 21:00:00+01:00,0.13281541874529684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 22:00:00+01:00,0.12442849402562262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04 23:00:00+01:00,0.12074681431107841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05 00:00:00+01:00,0.04951346346071682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05 02:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05 04:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05 06:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-05 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009774896509699094,0.0,0.0,0.0
01-05 08:00:00+01:00,0.0,0.0,0.18248432897642042,0.3415037893400002,0.031747731493892095,0.0,0.0,0.0,0.19291600126154013,0.07830150168179717,0.0,0.0,0.0,0.18248432897642042,0.0,0.04634549495460848,0.0,0.18248432897642053,0.0,0.0,0.0
01-05 09:00:00+01:00,0.0,0.0,0.2316433103905573,0.0,0.0,0.2326842925366801,0.0,0.0,0.15496195046449,0.08970080424209431,0.0,0.0,0.8982274944280001,0.2316433103905573,0.0,0.0,0.0,0.23164331039055724,0.03411050952649304,0.42295046234301537,0.0
01-05 10:00:00+01:00,0.0,0.0,0.20778863282156834,0.0,0.0,0.2683973647353384,0.0,0.0,0.07560936867260121,0.0,0.0,0.0,0.5343532678799996,0.20778863282156945,0.0,0.0,0.0,0.20778863282156945,0.0054642729314490525,0.20904581367412267,0.0
01-05 11:00:00+01:00,0.0,0.0,0.18657707615453822,0.0,0.0,0.0,0.0,0.0,0.07108785778483746,0.0,0.0,0.0,0.20178307423200087,0.18657707615453822,0.0,0.0,0.0,0.18657707615453822,0.0,0.009828426422843872,0.0
01-05 12:00:00+01:00,0.0,0.0,0.17988614565348526,0.0,0.0,0.0,0.0,0.0,0.06424953386198726,0.0,0.0,0.0,0.09922654351199889,0.17988614565348526,0.0,0.0,0.0,0.17988614565348526,0.0,0.0,0.0
01-05 13:00:00+01:00,0.0,0.0,0.17569961469370754,0.0,0.0,0.0,0.0,0.0,0.04584588596129674,0.0,0.0,0.0,0.03846048757599885,0.17569961469370754,0.0,0.0,0.0,0.17569961469370754,0.0,0.0,0.0
01-05 14:00:00+01:00,0.0,0.0,0.06185918245188515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19939818157335298,0.0,0.0,0.0,0.19939818157335298,0.0,0.0,0.0
01-05 15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20843324497790297,0.0,0.0,0.0
01-05 16:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16497481247625229,0.0,0.0,0.0
01-05 17:00:00+01:00,0.04527797318658502,0.0,0.16021446396631367,0.0,0.0,0.0,0.0,0.0,0.13354463955572282,0.0,0.0,0.0,0.0,0.16021446396631367,0.0,0.0,0.0,0.16021446396631367,0.0,0.0,0.0
01-05 18:00:00+01:00,0.0,0.0,0.02663158623191414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19808458180698685,0.0,0.0,0.0,0.19808458180698685,0.0,0.0,0.0
01-05 19:00:00+01:00,0.030339311196396247,0.0,0.12002271055824726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19695991303268634,0.0,0.0,0.0
01-05 20:00:00+01:00,0.12031399596072331,0.0,0.24777380246399738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08266678217743845,0.0,0.0,0.0
01-05 21:00:00+01:00,0.11871911651219812,0.0,0.24086249758474276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999662188670173,0.0,0.0,0.0
