LoadLevel,Network_Line_Out_bus004_bus011_cac1,Network_Line_Out_bus005_bus006_cac1,Network_Line_Out_bus006_bus007_cac1,Network_Line_Out_bus008_bus005_cac1,Network_Line_Out_bus011_bus013_cac1,Network_Line_Out_bus012_bus016_cac1,Network_Line_Out_bus015_bus033_cac1,Network_Line_Out_bus017_bus113_cac1,Network_Line_Out_bus025_bus027_cac1,Network_Line_Out_bus026_bus030_cac1,Network_Line_Out_bus030_bus038_cac1,Network_Line_Out_bus033_bus037_cac1,Network_Line_Out_bus054_bus056_cac1,Network_Line_Out_bus068_bus069_cac1,Network_Line_Out_bus069_bus077_cac1,Network_Line_Out_bus077_bus082_cac1,Network_Line_Out_bus080_bus099_cac1,Network_Line_Out_bus082_bus083_cac1,Network_Line_Out_bus092_bus093_cac1,Network_Line_Out_bus094_bus100_cac1,Network_Line_Out_bus099_bus100_cac1
01-01 10:00:00+01:00,0,0,0,0,0,0,0,0.437463638,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01 11:00:00+01:00,0,0,0,0,0,0,0,0.540135208,0,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0.501403055,0
01-01 12:00:00+01:00,1.94567E-14,7.51343E-14,4.42146E-14,0.00759879,-0.002763292,0.000306635,-0.001035248,0.942897296,0.239641184,0.239641184,-0.014723998,0.003157315,-1.66E-05,-0.00244241,-0.150487254,-0.002073059,4.44E-14,0.011658848,1.3517E-14,0.848837778,0.001715473
01-01 13:00:00+01:00,0,-6.78901E-14,-4.09672E-14,0.00391691,-0.00276112,-0.000330863,-0.000670081,1.177257181,0.426319493,0.426319493,-0.015014037,0.003204186,-1.29E-05,-0.003145131,-0.150625446,-0.001697697,-6.82E-14,0.011722611,-1.0042E-13,0.583552955,0.001122947
01-01 14:00:00+01:00,-4.26326E-14,0,0,0.006950303,-0.002874328,0.000190145,-0.000399339,1.082224811,0.353282224,0.353282224,-0.01623785,0.002022762,-4.6797E-06,-0.003038869,-0.077927254,-0.000623548,100.2052899,0.050435362,-4.26326E-14,2.842394312,99.95523384
01-01 15:00:00+01:00,0,0,2.84217E-14,0.004933175,-0.003088323,-5.46586E-05,0.00072061,0.665241972,0.032550102,0.032550102,-0.016052322,0.001320556,-7.45691E-07,-0.002326562,-0.064905261,-0.001821611,83.49121022,0.032550102,-5.68434E-14,2.947287124,83.18659664
01-01 16:00:00+01:00,1.42109E-14,4.26326E-14,1.42109E-14,0.000971725,-0.002376273,-0.000621177,0.000955471,0.803671483,0.165386426,0.165386426,-0.013604701,0.00052815,3.74223E-06,-0.002782493,-0.039165909,-0.004410891,84.3583908,0.04613528,1.42109E-14,3.917211182,82.77335326
01-01 17:00:00+01:00,0,0.0141021,-1.42109E-14,-0.556262177,-0.008115202,-0.000544268,-0.00021059,2.313745828,0.556949093,1.105806742,0.000424046,-7.28393E-05,8.05267E-06,-0.006906103,-0.027496976,-0.00446075,85.39502292,0.041567713,-4.26326E-14,5.16878577,83.7984848
01-01 18:00:00+01:00,0.008510287,0.029679474,0.00112879,6.528515741,-0.00247991,-0.000363094,1.086584239,0.319162896,1.240051173,0.373981116,21.0349967,1.480987449,0.002850058,-0.163386245,0.496615066,0.028882887,108.8656655,0.047027811,3.39846E-05,5.796660204,106.8399351
01-01 19:00:00+01:00,-0.028965627,-0.020933538,-0.002933165,6.536953923,-0.010248696,0.014458821,1.407548161,0.49105938,0.897152992,-0.192165809,21.6426707,1.815128413,0.001813415,-0.097588484,0.366396952,-0.007321723,1.95399E-13,0.018041518,-3.28626E-14,3.603842352,2.267686014
01-01 20:00:00+01:00,-0.039494215,-0.051537061,-0.002883661,6.999215445,-0.011159363,0.015067597,1.510341803,0.579416329,0.563277521,-0.204512165,21.78645559,1.905025979,0.001868121,-0.079269946,0.187742112,-0.009103462,-1.58096E-13,0.017691843,1.63425E-13,2.515006185,1.238711943
01-01 21:00:00+01:00,-0.041967777,-0.044581306,-0.002768281,7.622377133,-0.011690305,0.012197786,1.599999361,0.587884286,0.290603557,-0.377072784,21.6778655,1.954408154,0.001493812,-0.101515631,0.103740332,-0.008573874,-9.68114E-14,0.01967428,-1.30562E-13,1.593217734,0.272454424
01-01 22:00:00+01:00,-0.042299019,-0.099597865,-0.002902893,7.872223999,-0.007132547,0.006263528,1.526904595,0.302873405,0.297322832,-0.70399711,21.02547825,1.87260776,0.000986006,-0.173856802,0.027663472,-0.006381558,0.000640824,0.015380823,-6.73104E-05,0.074084257,0.005074791
01-01 23:00:00+01:00,-0.045488483,-0.111395445,-0.004411788,8.734426117,-4.20705E-05,0.001922489,1.467314843,0.522901002,0.338027485,-0.103319277,20.61873768,1.770011088,0.00074978,-0.060096088,0.018645946,-0.000395767,95.64708787,0.033759915,-0.002285613,1.106545023,95.6464132
01-02 00:00:00+01:00,-1.42109E-14,0.000575525,0,7.031065837,0.001175156,-0.006178701,0.066852301,0.914921758,0.253290713,-0.593367504,17.17464612,0.134311623,0.000237322,-0.05240001,0.059544575,-0.001584536,66.94168451,0.027207917,1.42109E-14,-0.002870434,66.94168451
01-02 01:00:00+01:00,1.7053E-13,0.000717773,-7.10543E-14,4.999401171,0.003432148,-0.007597499,0.087947721,0.616880738,0.282852954,-0.645557293,13.53633577,0.150940618,0.000313375,-0.036825272,0.077393087,-0.001144559,70.28363074,0.029073,1.84741E-13,-0.00314629,70.28363074
01-02 02:00:00+01:00,2.13163E-13,0.000454126,1.42109E-13,3.59921153,0.00287804,-0.014681317,0.075990622,0.423390323,0.305932798,-0.660932807,10.90630433,0.132089053,0.000281629,-0.021878984,0.07967102,-0.000384929,69.19138215,0.03692416,2.27374E-13,-0.002618566,69.19138215
01-02 03:00:00+01:00,4.26326E-14,0.000415302,0,2.7521925,0.002656607,-0.012649143,0.07302526,0.342926392,0.329019703,-0.631405595,9.224678575,0.12427195,0.000387382,0.013576331,0.074885735,-7.60606E-05,70.33772919,0.033760955,0,-0.001901037,70.33772919
01-02 04:00:00+01:00,-4.26326E-14,0.000403071,1.42109E-14,2.609067914,0.002761152,-0.012795212,0.040953519,0.320228713,0.333293874,-0.597385932,8.813529971,0.091245378,0.00037287,0.015723643,0.06303318,0.000136311,73.70359697,0.032162658,0,-0.001666637,73.70359697
01-02 05:00:00+01:00,-9.9476E-14,0.000698852,0,3.66148763,0.005313689,-0.008524065,0.001792402,0.410778345,0.317079119,-0.598993923,10.39026244,0.065563032,0.000843479,-0.00703599,0.079277071,-0.00044352,78.59910911,0.034466577,-4.26326E-14,1.374154335,78.59810888
01-02 06:00:00+01:00,-1.13687E-13,0.000499278,2.84217E-14,6.453125086,0.002905805,-0.006202769,-0.100801893,0.776444031,0.285215285,-0.550553715,14.69996666,-0.03160443,0.000947381,-0.061225895,-0.014315328,-0.004592887,90.82454336,0.015007618,-1.13687E-13,4.552486518,89.14906522
01-02 07:00:00+01:00,0.035827278,0.129164088,0.003639445,7.498677132,0.003509859,0.011405436,0.135453523,0.273335512,0.920451675,-0.094695157,18.69219892,0.279541303,0.001354639,-0.147193583,0.019726585,-0.405956552,1.27E+02,0.240531581,-0.4186736,7.926252639,125.3234317
01-02 08:00:00+01:00,0.028790936,0.114770811,0.000158078,3.327757923,-0.002460427,0.007173594,0.116123702,0.287945222,0.89392779,-0.267443812,16.61852514,0.215909644,1.32E-03,0.180029959,0.361760852,-0.347726902,116.9360622,0.272780849,-0.421365453,7.710133297,115.0655894
01-02 09:00:00+01:00,3.90365E-06,0.001636437,2.33069E-06,1.329630512,0.004921082,0.013064542,-0.145362822,1.999725883,1.076426207,1.20306348,8.385027964,-0.169182249,0.00101292,0.150148081,0.457528765,-0.299305081,117.6708228,0.247666599,-0.335990199,7.65779074,115.7086012
01-02 10:00:00+01:00,-0.000107974,-0.000135285,-2.78218E-05,0.006474929,-0.000171984,-0.002128633,0.003306521,5.091774963,0.456658586,1.784285543,-0.036383698,0.005065621,-1.26842E-05,-0.127097091,0.201936105,-0.244942855,120.6536269,0.306051165,-0.309061835,7.047227757,118.5635063
01-02 11:00:00+01:00,-8.39033E-05,-0.000174786,-3.66035E-05,0.003846348,-6.4837E-14,-0.001231536,0.005182977,5.099069079,0.512492605,1.68373933,-0.038248384,0.011644899,9.46594E-05,-0.125594512,0.279037795,-0.197991353,120.5009258,0.321486226,-0.271168909,6.995294051,118.3063587
01-02 12:00:00+01:00,-5.61435E-05,-6.80443E-05,-3.82253E-05,0.002199637,-6.21725E-14,-0.001622981,0.004866418,5.008493184,0.563862011,1.652262668,-0.028755992,0.013367227,7.86648E-05,-0.122807351,0.277828528,-0.189336305,120.5006691,0.331905146,-0.267118554,7.034495319,118.2751095
01-02 13:00:00+01:00,-0.000129329,-0.000205725,-3.79574E-05,0.001745385,-7.54952E-14,-0.001461496,0.005096796,5.070292674,0.565942619,1.636753835,-0.025128895,0.013121742,4.71352E-05,-0.123324513,0.244477089,-0.185418648,120.8381585,0.35020302,-0.269000079,7.025325595,118.6294051
01-02 14:00:00+01:00,-0.000163463,-0.000279251,-4.71558E-05,0.008615947,3.10862E-15,-0.002968547,0.008903902,5.236666991,0.571637334,1.636282896,-0.009125547,0.01502274,-1.3503E-05,-0.104962228,0.199418551,-0.238043741,126.3451338,0.381616043,-0.308765719,7.116914421,124.0632277
01-02 15:00:00+01:00,-0.000132074,-0.000250103,-4.66869E-05,0.048140478,-8.85665E-05,-0.007657809,0.014430405,5.475896133,0.57980323,1.646349236,0.003332568,0.016159491,2.01655E-05,-0.047629009,0.34650922,-0.158331643,131.1834856,0.40318988,-0.236144133,6.98711212,128.7440331
01-02 16:00:00+01:00,0.001602914,0.825680677,-0.000987906,0.107324944,-0.005840829,-0.0882539,0.192099207,3.382328001,0.346299251,0.767540733,0.319625729,0.184357365,-0.000279379,0.304067559,0.671777187,-0.12521936,134.4068258,0.628973124,-0.22276694,6.167541905,132.1748075
01-02 17:00:00+01:00,1.35655E-05,1.236703186,1.59857E-06,-0.47799992,2.2039E-05,-0.005103638,0.121602931,0.08089823,0.058204844,0.029608525,0.021608188,0.093555574,-9.83172E-05,0.280874457,0.413005825,0.146557152,123.1678854,6.007301407,-2.429478892,-1.043744929,123.1355931
01-02 18:00:00+01:00,-5.51959E-06,-0.000536382,1.75312E-06,2.361296135,0.003406202,-0.010078559,0.550192896,0.958333017,0.485021509,0.964595791,0.260536977,0.443134837,-0.001190824,0.850866537,0.715680178,0.193942364,114.6773581,5.025253487,-2.789024695,-1.785702282,114.5824481
01-02 19:00:00+01:00,0.000374092,-0.329563809,-4.23495E-05,6.062011923,-0.216264418,0.007550051,0.742508706,1.760370394,1.2508376,1.887029488,0.763977354,0.504142153,-0.002665421,1.216410223,0.8034241,0.078963794,109.0422855,5.199261673,-3.00721459,-1.89438172,108.9214229
01-02 20:00:00+01:00,-1.04263E-05,-0.555887051,1.35459E-06,4.268365716,-0.024213529,0.00102758,0.356195807,0.886052343,0.508817057,0.749033076,0.529014966,0.26738579,-0.001327864,0.571468465,0.294574841,0.100754756,105.8835219,5.266331487,-2.854630795,-2.157413796,105.7963957
01-02 21:00:00+01:00,-8.70768E-06,-0.391150924,1.43252E-06,3.08511398,-0.02438019,0.001218861,0.359066129,0.862379291,0.437123302,0.726102044,0.631366103,0.236400316,-0.001616894,0.645724096,0.23881076,0.111818569,99.58917515,5.95523915,-2.922150444,-1.808379183,99.43055935
01-02 22:00:00+01:00,-6.34929E-06,-0.1960401,1.37906E-06,1.828521578,-0.031622917,-0.001735498,0.21747673,0.427733711,0.287735979,0.277742885,0.67391475,0.131290559,-0.001378439,0.455716462,0.369999475,0.169725447,93.47925077,5.537061772,-2.590341935,-1.898981082,93.47384214
01-02 23:00:00+01:00,0.001762492,-0.064998789,-0.000192385,1.213316646,-0.041819528,0.008561052,0.153756227,0.280815892,0.201763817,0.179141996,1.520785526,0.118820047,-0.000984065,0.383379903,0.229816858,0.168398947,111.1793415,5.117494364,-2.649834298,0.100512401,110.7153971
01-03 00:00:00+01:00,0.003639337,0.013915709,1.18852E-05,0.594039825,-0.005492004,0.00452079,-0.091877198,-0.147391099,0.285121603,-0.056051099,6.504467579,-0.052575378,-0.001211783,0.132030465,0.069353639,0.138046704,107.9340278,4.517000073,-1.874922404,3.265733504,107.7451565
01-03 01:00:00+01:00,0.029606101,0.101935872,0.002956494,2.092329259,-0.008036853,0.001123823,0.164231807,-0.057099774,0.891186009,-0.604974652,11.01528115,0.26785137,-0.001311539,1.047143,-0.835072339,-0.027330839,74.52077534,1.880827356,-0.149920893,4.151037401,74.52047147
01-03 02:00:00+01:00,0.025786087,0.099163102,0.003565278,3.2251405,-0.002465432,0.00525376,0.123293086,-0.003179994,0.934376141,-0.488601741,11.37118507,0.225849126,-0.001033289,1.022619183,-0.773732562,-0.028182074,73.47246384,0.941658644,-0.140713714,3.771136482,73.47999457
01-03 03:00:00+01:00,0.020508653,0.10868259,0.001177182,5.042782608,0.001252163,-0.005462502,0.148367325,0.041094607,1.087942621,-0.052154724,12.60424055,0.250605131,-0.001054533,0.856932706,-0.743853204,-0.024319064,74.93872778,0.252542993,-0.123439747,3.668232364,74.94515558
01-03 04:00:00+01:00,0.01122696,0.098481019,0.001158162,5.066454321,0.001674465,-0.005316375,0.109251259,0.099952811,1.085647798,0.008160215,12.12661322,0.211907363,-0.000877008,0.912407153,-0.764672763,-0.023269922,79.07440787,0.264917283,-0.124591466,4.427892458,78.92147687
01-03 05:00:00+01:00,0.028850537,0.109543478,0.003531271,3.450151918,0.001374494,-0.000222888,0.05717276,-0.038245629,0.875228221,-0.448605517,10.41655608,0.176662861,-0.000645859,1.206421145,-0.431616726,0.126657312,81.82574157,2.772469249,-0.473475291,5.448702848,80.45637208
01-03 06:00:00+01:00,0.003279808,0.012284583,0.000352817,0.811896032,0.00287378,-0.002899718,0.290017013,0.176785965,0.147019767,-0.083340175,1.270571911,0.23172334,-0.000383604,0.602204203,0.177137538,0.089199431,85.70376017,5.218859094,-2.772068559,0.119378175,85.33056867
01-03 07:00:00+01:00,1.8521E-06,-2.17715E-05,-3.38815E-06,0.635554136,0.001011101,-0.002270738,0.196945625,0.227998217,0.08345554,0.155968578,0.092680944,0.176458818,-0.000205751,0.283776268,0.110246389,0.065189051,97.62041428,7.361451108,-2.978708688,-2.357399415,97.59753137
01-03 08:00:00+01:00,-5.85215E-06,-0.213115715,1.69821E-06,1.675140319,-0.037492657,0.014557431,0.346766124,0.817184695,0.219718509,0.505830153,0.136115503,0.356308482,-0.000557542,0.658935952,0.478162214,0.221809297,111.7108746,8.787151977,-3.069874817,-2.553112881,111.7790746
01-03 09:00:00+01:00,1.25544E-05,1.25035E-05,3.93497E-06,0.000350078,5.6609E-06,0.000206251,-0.004443452,0.170576895,0.002562339,0.007534554,0.023240852,-0.005341738,9.50619E-05,0.195296143,0.604205323,0.189873003,112.1414605,9.799236492,-2.994867105,-2.237636727,112.3678854
01-03 10:00:00+01:00,0.000438167,1.230700977,-0.002017848,9.743193737,0.8023044,0.021590977,-0.610391053,0.170626016,-0.023220307,-0.012006825,3.520437109,-0.417983974,-6.89792E-06,0.207074217,0.698510774,0.190653804,112.0753573,9.643891602,-2.896659404,-1.410122514,112.158924
01-03 11:00:00+01:00,-0.146348655,-0.269432179,-0.063723026,6.006671565,-1.10134E-13,1.041169431,-3.249364362,2.20634833,0.537208085,1.666204225,7.675399569,-1.356000221,-0.000496591,0.205182475,0.766508935,0.184809749,112.9309782,9.431055887,-2.333501448,2.83383371,112.9473359
01-03 12:00:00+01:00,-0.01508152,-0.019366509,-0.004653696,6.747460249,4.70735E-14,0.212914991,-3.308951767,4.704332477,1.630532498,4.275292273,9.60732656,-0.938865101,-5.17869E-05,0.114819176,0.761043433,0.190044365,138.387839,9.0794722,-1.058427392,4.38683242,137.6541342
01-03 13:00:00+01:00,-0.000223677,-0.000270265,-6.36765E-05,0.060997681,3.55271E-15,-2.53011E-05,-3.073892272,5.119921238,0.291302911,4.352448665,0.43320959,-1.848870357,-0.000281726,-0.053980359,-0.048633401,-0.145863789,1.59551721,1.038341361,-0.273260706,4.219451954,7.47071572
01-03 14:00:00+01:00,-0.001265845,-0.001779663,-0.000397549,0.048387224,-9.32587E-15,0.009209181,-2.111357274,4.884489278,0.287953418,3.690699085,0.291144615,-2.182108816,0.000119346,0.027907556,-0.107764053,-0.133411898,1.356627711,0.864768899,-0.267049916,5.362546585,7.389094947
01-03 15:00:00+01:00,-0.000899457,-0.001785421,-0.000348756,-1.471001105,-5.19584E-14,0.365638767,-1.376157596,2.93061827,0.120306468,1.478878676,0.113899283,-2.769205776,6.50279E-05,0.025474898,-0.013764867,-0.090476778,1.933161807,1.443589614,-0.273491818,4.146936533,7.624459109
01-03 16:00:00+01:00,0.131985431,0.960581945,-0.062683075,5.167693627,-1.2701E-13,0.167618319,0.181849172,2.139202062,0.044805979,1.504188222,1.399314268,0.118398677,-7.95088E-05,0.144535546,-0.262610198,0.030417385,4.462500931,6.071205269,-0.838571751,3.351194864,7.991542834
01-03 17:00:00+01:00,2.2956E-05,0.092365803,4.27436E-06,-0.128599655,-0.00409739,-0.01606179,-0.004238202,0.211978284,0.003800874,0.012562385,0.184385419,-0.434213503,9.32874E-05,0.218365576,0.863248728,0.194331651,142.26119,9.209248394,-2.566060796,-0.898554344,142.4372198
01-03 18:00:00+01:00,-9.06302E-07,0.000354068,-0.000140044,3.312780562,0.004973546,-0.010254033,0.397833658,1.257436982,0.59693384,1.092473701,0.321736351,0.326188205,-0.00050028,0.741936424,1.390774819,0.287884995,110.2226086,9.09353276,-3.155587969,-1.809177221,110.3526636
01-03 19:00:00+01:00,0.000250351,6.180109693,-0.000122013,77.15315648,-5.695864588,-1.415208805,-3.983210329,11.74433474,11.45692384,15.55439697,8.223028167,-1.278895238,0.0107827,0.409728104,1.566548116,0.281840392,102.6293623,6.345974041,-3.132935816,-1.713481496,102.6476156
01-03 20:00:00+01:00,0.000377467,0.249541332,-5.75502E-05,12.54397804,-1.376071283,-0.085946805,-0.787982009,4.900974592,4.346363485,4.543132034,2.405956206,-0.399106601,0.00037211,1.977890111,1.857176234,0.276559641,99.32699732,6.791599542,-3.030926547,-1.581951399,99.08690213
01-03 21:00:00+01:00,-9.99261E-06,-0.651443178,1.33159E-06,3.871967293,-0.144947062,0.001829785,0.036617406,0.774179132,0.39035138,0.408162558,0.677219262,0.032970886,0.000222893,0.457966441,0.277554851,0.111243931,89.63772572,6.303231313,-2.686997768,-1.962181149,89.62194511
01-03 22:00:00+01:00,0.000629355,-0.176798199,-0.000175642,2.562937576,-0.025066618,0.011519649,0.064751761,0.806448678,0.54945767,0.614077721,1.146452076,0.058707945,0.000993402,0.300706687,0.10734412,0.062346186,84.30226035,5.117100704,-2.672738679,-1.518233836,84.01953865
01-03 23:00:00+01:00,0.002399383,-0.011473311,-0.000223824,1.540788706,-0.01243796,0.01752621,-0.154338206,0.479086609,0.550081427,0.771482252,4.916019971,-0.058247115,0.001649815,0.121694518,0.204741157,0.092603339,78.40901354,4.171275049,-1.919399834,3.732172611,77.85111517
01-04 00:00:00+01:00,0.02334975,0.083666532,0.00040557,2.58050962,-0.011848283,0.00577037,0.237545234,-0.016065018,1.149973283,-0.491893861,12.05051506,0.401900913,0.001876298,0.926607573,-0.249395994,-0.027759358,99.23726834,1.300371119,-0.090979887,4.675893192,97.99695867
01-04 01:00:00+01:00,0.032835278,0.113643486,0.003413776,2.522037447,-0.008290352,0.003961592,0.252807313,-0.00497264,0.932517575,-0.602213426,13.78880462,0.391874316,0.002006919,0.633851914,-0.702635647,-0.021961129,78.24869807,0.180695535,-0.057461673,3.561075167,78.25419137
01-04 02:00:00+01:00,0.02979376,0.108215576,0.00428298,4.890702904,-0.000409149,0.003231724,0.281708042,0.135190491,1.00642366,-0.412811013,15.34676316,0.417165035,0.002248551,0.456784526,-0.747684371,-0.022142211,75.01142265,0.183825725,-0.054642668,3.141678858,75.01619979
01-04 03:00:00+01:00,0.009505028,0.054535686,0.001248199,6.005461395,0.000289136,-0.011393623,0.233537756,0.218080931,1.115917079,0.071246669,15.61383917,0.352499084,0.002439904,0.34907356,-0.666911768,-0.018445133,78.15330116,0.168427802,-0.045444504,3.039592594,78.15679197
01-04 04:00:00+01:00,0.009256106,0.026998391,0.001224057,6.486582235,0.000606612,-0.011504458,0.218278408,0.458430539,1.104175415,0.318609069,15.87809791,0.341931966,0.002417838,0.287370476,-0.694076216,-0.017558813,75.92859392,0.148028894,-0.048815285,3.504333876,75.9318322
01-04 05:00:00+01:00,0.041093704,0.139305566,0.004569973,5.592325711,0.001875157,0.006315406,0.189620764,0.194210265,1.131023586,-0.226401891,15.07107683,0.334729548,0.002629235,0.549612348,-0.44947122,-0.022887662,56.31468793,0.234825293,-0.042249384,5.679379895,55.39469461
01-04 06:00:00+01:00,0.009321057,0.037059067,0.000856384,1.943305887,-0.001772547,0.004310632,-0.153089774,0.201016289,0.62472748,-0.289350676,10.87931199,-0.057964321,0.002299292,0.656893636,0.195083614,-0.014680284,70.86268802,2.476907886,-0.40861498,6.546893466,69.72774541
01-04 07:00:00+01:00,0.001934285,-0.040819258,-4.6993E-05,1.281971889,-0.019296541,0.007471648,0.181824699,-0.139896783,0.199886409,-0.316883159,1.421853029,0.164955135,0.002682884,0.482202878,0.617716446,3.6231E-05,74.45396616,2.994855687,-1.195210726,0.132003644,73.88418729
01-04 08:00:00+01:00,-4.52714E-06,-0.390367027,1.55136E-06,2.155776124,-0.04685429,0.01519372,0.269526919,0.352690327,0.188290349,0.29688827,0.369832249,0.230757177,0.001651832,0.697990321,1.172027985,0.213707668,85.61711643,3.63358939,-0.995674087,-0.388136401,85.47512772
01-04 09:00:00+01:00,8.62094E-06,-0.000439063,3.47847E-06,0.128020004,-0.00041618,-0.006350501,0.16850932,0.155731776,0.086633683,0.08717989,0.111372068,0.177506872,0.000584792,0.326343226,1.059738817,0.179297158,125.9340953,5.151243507,-1.161036581,-0.391215684,125.7864651
01-04 10:00:00+01:00,-0.001098648,0.902457063,-0.000151441,0.132956111,-0.260244829,-0.110467406,0.549867449,3.385478866,0.505356358,3.765858616,0.245805174,0.612517819,0.001826279,0.352887979,-0.347333194,0.12892384,1.20924776,0.422494141,-0.153265802,5.220048772,7.289590415
01-04 11:00:00+01:00,-0.000116069,-0.000303525,-8.05103E-05,0.02211783,2.03817E-06,-0.010104344,0.021084327,4.618157956,0.606534682,4.020253259,-0.046863164,0.029210402,-0.000227496,0.06957818,-0.199729906,-0.042228644,0.854481466,0.453282539,-0.229468663,5.87571755,7.416624406
01-04 12:00:00+01:00,-2.0857E-05,-3.61506E-05,-7.75778E-06,0.003273874,-2.35367E-14,-0.006794386,0.013687437,4.414948996,0.509154726,3.207601801,-0.060236696,0.020743005,-0.000261235,-0.018520445,-0.304662892,-0.035465949,0.785981745,0.133140962,-0.338465587,6.275105187,7.509583278
01-04 13:00:00+01:00,-2.45699E-05,-3.86707E-05,-7.82848E-06,0.004352147,-9.76996E-15,-0.006924863,0.013626593,4.445487709,0.547236713,2.620755508,-0.048921628,0.018881237,-0.000231248,-0.042635932,-0.355875886,-0.04653847,0.745611551,0.049833694,-0.30166797,6.175968298,7.361114134
01-04 14:00:00+01:00,-0.000110398,-0.000197511,-3.7453E-05,0.005631418,1.33227E-15,-0.005672099,0.014329075,4.53931928,0.538587438,2.090547701,-0.04751333,0.016432756,-0.000268548,-0.060571997,-0.372610949,-0.071313254,0.746100071,0.057244634,-0.379339674,6.534703904,7.30646649
01-04 15:00:00+01:00,-9.15987E-05,-0.00019062,-3.72193E-05,0.005948622,-3.55271E-15,-0.004610704,0.014925903,4.770478446,0.50469573,1.893677102,-0.056194399,0.014140071,-0.000324958,-0.06843418,-0.449657373,-0.059893923,0.742028021,0.027352411,-0.358246367,6.557387219,7.399792436
01-04 16:00:00+01:00,0.000895477,1.230962119,-0.000407143,0.135493431,-6.39488E-14,-0.116015414,0.118474494,2.828037324,0.337164967,1.413500156,0.454650585,0.116003126,0.001109623,-0.062896242,-0.995139041,0.269440683,1.147262871,0.284975518,-0.393298309,5.354281411,7.422603691
