,,,LineType,Switching,InitialPeriod,FinalPeriod,Voltage,Length,LossFactor,Reactance,TTC,TTCBck,SecurityFactor,FixedInvestmentCost,FixedChargeRate,BinaryInvestment,SwOnTime,SwOffTime,Resistance,Susceptance,Tap,AngMin,AngMax,InvestmentLo,InvestmentUp,Sensitivity,InvestmentFixed,SensitivityGroup,SensitivityGroupValue
Node_8,Node_9,cac2,AC,,2020,2050,400,,0.02,0.015,600,,1,121.5,0.075,Yes,,,0.003,0.9,1,-60,60,,,,,,
Node_1,Node_6,cac3,AC,,2020,2050,400,,0.02,0.005,1200,,1,144.0,0.075,Yes,,,0.001,2.4,1,-60,60,,,,,,
Node_2,Node_3,cac3,AC,,2020,2050,400,,0.02,0.0075,1200,,1,243.0,0.075,Yes,,,0.0015,1.8,1,-60,60,,,,,,
Node_2,Node_6,cac3,AC,,2020,2050,400,,0.02,0.01,1200,,1,288.0,0.075,Yes,,,0.002,1.2,1,-60,60,,,,,,
Node_3,Node_4,cac3,AC,,2020,2050,400,,0.02,0.0125,1200,,1,375.0,0.075,Yes,,,0.0025,1.0,1,-60,60,,,,,,
Node_3,Node_6,cac3,AC,,2020,2050,400,,0.02,0.015,1200,,1,486.0,0.075,Yes,,,0.003,0.9,1,-60,60,,,,,,
Node_4,Node_5,cac3,AC,,2020,2050,400,,0.02,0.0175,1200,,1,588.0,0.075,Yes,,,0.0035,0.8,1,-60,60,,,,,,
Node_4,Node_6,cac3,AC,,2020,2050,400,,0.02,0.02,1200,,1,576.0,0.075,Yes,,,0.004,0.6,1,-60,60,,,,,,
Node_4,Node_9,cac3,AC,,2020,2050,400,,0.02,0.0175,1200,,1,588.0,0.075,Yes,,,0.0035,0.8,1,-60,60,,,,,,
Node_6,Node_7,cac3,AC,,2020,2050,400,,0.02,0.015,1200,,1,486.0,0.075,Yes,,,0.003,0.9,1,-60,60,,,,,,
Node_6,Node_8,cac3,AC,,2020,2050,400,,0.02,0.0125,1200,,1,375.0,0.075,Yes,,,0.0025,1.0,1,-60,60,,,,,,
Node_7,Node_8,cac3,AC,,2020,2050,400,,0.02,0.01,1200,,1,288.0,0.075,Yes,,,0.002,1.2,1,-60,60,,,,,,
Node_8,Node_9,cac3,AC,,2020,2050,400,,0.02,0.0075,1200,,1,243.0,0.075,Yes,,,0.0015,1.8,1,-60,60,,,,,,
