01-01 16:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5635092591243333,0.8778737414943928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18728841769722812,0.0,0.0,0.0
01-01 17:00:00+01:00,0.0,0.0,0.0,0.06768469767859434,0.0,0.0,0.0,0.0,0.0,0.0992232329754469,0.024589213288155023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02802891878433373,0.0,0.0,0.6091272845997668,0.979756684650702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18837708059701488,0.0,0.0,0.0
01-01 18:00:00+01:00,0.0,0.0,0.0,0.6421977866863805,0.0,0.0,0.0,0.3369313512870973,0.1609829150936499,0.5554290299613094,0.5366919269745747,0.32004621988522824,0.0,0.16240542376288392,0.0,0.0,0.5704278285565774,0.47842666430001085,0.11187069271144277,0.22624994449490876,1.0,0.34631916974588195,0.9607657206205564,0.0,0.0,0.5290175229591817,0.0,0.9629207877648809,0.0,0.6905416983172693,0.23984448763326224,0.0,0.0,0.0
01-01 19:00:00+01:00,0.3349761933858538,0.0,0.0,0.0,0.0,0.3522254947567308,0.019348465315378593,0.38064781114750385,0.5919134011367568,0.6666666666666667,0.538103552916251,0.3270873266258215,0.42343483243110486,0.2092924832154852,0.0,0.033757754652835176,0.5777110594235975,0.6175520201024436,0.11817846383084576,0.24132984862124737,1.0,0.3293525479377037,1.0,0.0,0.0,0.627298867900407,0.0,1.0,0.0,0.5761104347241237,0.0,0.277722064887872,0.0,0.0
01-01 20:00:00+01:00,0.39082071972219706,0.0,0.0,0.0,0.0,0.36937431523577047,0.08060060335504254,0.3320788964889061,0.6070566457681705,0.6666666666666667,0.5361932426182054,0.32802951630552785,0.435142507016117,0.22005005749025824,0.0,0.0,0.5856748486818811,0.6306677659162071,0.11297762748756218,0.1864922472526292,1.0,0.36830887800544226,0.9069163137336739,0.0,0.0,0.6279548291275607,0.0,1.0,0.0,0.7296935936954744,0.0,0.23650385576322813,0.0,0.0
01-01 21:00:00+01:00,0.42862603375012404,0.0,0.0,0.0,0.0,0.3807823275864913,0.13229872232371132,0.2514934121729356,0.6233965702392577,0.6666666666666667,0.5394351430910926,0.316305944604838,0.4560839164583905,0.22829604404193907,0.0,0.0,0.5815539744526578,0.6427422329792506,0.10150416079601988,0.14007882514396303,1.0,0.4187873748946883,0.8011523119254592,0.0,0.0,0.6225197324944959,0.0,1.0,0.0,0.8335042848094979,0.0,0.20811821017739945,0.23977803715872026,0.0
01-01 22:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0724643836720027,0.2481349673285873,0.5857253188849214,0.5925579404158341,0.5556774847361603,0.42815723793513577,0.0,0.26799403942765665,0.0,0.0,0.7003300177127184,0.6058696678556705,0.08387227134328357,0.13325675714269347,1.0,0.36275819538524107,0.5541562150845376,0.0,0.0,0.6592332982428243,0.0,0.9752970912497226,0.0,0.535438472527396,0.0,0.24227481824020014,0.0,0.0
01-01 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236188273628599,0.0,0.4022106100605268,0.5587496705603325,0.3728566409793411,0.0,0.22517834128754824,0.0,0.0,0.6545691112134641,0.2341173549621338,0.06053000415422885,0.12250652960075134,1.0,0.3603663407794898,0.24522715931566128,0.0,0.0,0.5877889429455567,0.0,0.9118479811312867,0.0,0.1065197569228345,0.2146946466950959,0.0,0.0,0.0
01-02 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12796717424110804,0.0,0.0,0.5494365364185674,0.1785820096353311,0.0,0.08240205848527345,0.0,0.0,0.4667349815551436,0.0,0.040719385945273634,0.000488808139796576,0.9419003983124996,0.4200426653571119,0.04970937716942288,0.0,0.0,0.338627710286491,0.0,0.5880665427138082,0.0,0.0,0.1502613049040511,0.0,0.0,0.0
01-02 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422579692169078,0.008109140025257677,0.0,0.0,0.0,0.0,0.304978580382296,0.0,0.026909056990049748,0.0,0.6618263833580608,0.28672853345408295,0.08791095302712769,0.0,0.0,0.14273479358409533,0.0,0.27064050334697753,0.0,0.0,0.1577628371002132,0.0,0.0,0.0
01-02 02:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44850771525874467,0.0,0.0,0.0,0.0,0.0,0.23807270231147923,0.0,0.02008295928606965,0.0,0.47464434032526204,0.2846382252367803,0.05553198090863693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15509867995735607,0.0,0.0,0.0
01-02 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12182909884159719,0.0,0.0,0.0,0.0,0.0,0.1860669649418576,0.0,0.016937858925373132,0.0,0.3933053637608249,0.32457476156993886,0.0020536459857229306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1575164019189765,0.0,0.0,0.0
01-02 04:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14769438068007545,0.0,0.0,0.0,0.0,0.027694341930747834,0.18230617487961642,0.0,0.01995996653482587,0.0,0.3803042569166197,0.30016906073099386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14139579732161905,0.0,0.0,0.0
01-02 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4838925865532005,0.0,0.0,0.0,0.0,0.0,0.2627203592713801,0.0,0.03495629701492537,0.0,0.48379924319598355,0.2546260055071034,0.2952492614707683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17642825671641787,0.0,0.0,0.0
01-02 06:00:00+01:00,0.0,0.0,0.0,0.19361927452114472,0.0,0.0,0.0,0.13642525364061409,0.0,0.1410658802773238,0.5737657566966641,0.11042262182403642,0.0,0.07570595682619477,0.0,0.0,0.427533638888713,0.0,0.06869145174129353,0.0,0.7850972530298062,0.2723140464897855,0.8251015315653495,0.0,0.0,0.21958992968263574,0.0,0.6415269093230228,0.0,0.0,0.20206438102345411,0.0,0.0,0.0
01-02 07:00:00+01:00,0.0,0.0,0.0,0.6278018853158615,0.0,0.0,0.1662783818058109,0.2266799633904124,0.15831961699007352,0.5164897446340357,0.5653189950119824,0.3890558268426115,0.0,0.3034487606846434,0.0,0.46291431127776356,0.6970145520460063,0.4133735833876486,0.10919120778606964,0.11234399448801648,1.0,0.37655984207693594,1.0,0.0,0.0,0.6102116997702418,0.0,0.949941025989123,0.0,0.8401438848415321,0.6792993793894689,0.3235797756337072,0.0,0.0
01-02 08:00:00+01:00,0.19061442488531236,0.31604349205203197,0.3515490163588805,0.4246359117450721,0.0,0.2887088907411254,0.1727159312567942,0.4837670387792159,0.4875632076350711,0.6666666666666669,0.5321798767865091,0.6312399694568658,0.3409932604982098,0.6201517193486824,0.0,0.5597296480093773,0.6748603912779785,0.50570930185395,0.1445076978606965,0.31833683411780134,1.0,0.2297005509925729,1.0,0.0,0.0,0.5722318496629057,0.1469228327765183,1.0,0.0,0.6250421505109228,0.7387108006391676,0.46072234602835366,0.47238530313132987,0.0
01-02 09:00:00+01:00,0.0,0.24087871189701737,0.27311353815258943,0.2140672019024964,0.0,0.0,0.23556372509376847,0.49670948307677715,0.0,0.25269763820347524,0.5513851903063198,0.0,0.0,0.056298352070174376,0.0,0.6263119820719086,0.13131259085557287,0.0,0.14906466830597015,0.47687691080872513,0.4832897959543712,0.25764786513776505,1.0,0.0,0.0,0.23190472661724126,0.2137126969280236,0.09793255624591102,0.0,0.36257817178296964,0.7969345051021476,0.3713514278432105,0.0,0.0
01-02 10:00:00+01:00,0.0,0.1427092246183841,0.0,0.3768051215320843,0.0,0.0,0.26609496638548,0.0,0.0,0.2765500609486721,0.052272023190670265,0.0,0.0,0.0,0.0,0.6227061916739299,0.0,0.0,0.0,0.22534256003417938,0.0,0.8272398579516115,1.0,0.0,0.0,0.2867115165543365,0.1584744497546452,0.0,0.0,0.2661175889088508,0.8001200470211508,0.2274304901564129,0.0,0.0
01-02 11:00:00+01:00,0.0,0.14877307722189487,0.0,0.39573601759804455,0.0,0.0,0.2594103611365963,0.0,0.0,0.2546923853833464,0.547546037663591,0.0,0.0,0.0,0.0,0.6215223381448415,0.0,0.0,0.0,0.16693061013950627,0.0,0.8019134342339287,1.0,0.0,0.0,0.0,0.1500070700129238,0.0,0.0,0.2488020011588538,0.7988140740601839,0.180419486684247,0.0,0.0
01-02 12:00:00+01:00,0.0,0.15230688263910303,0.0,0.3921236068847513,0.0,0.0,0.2510538326425179,0.0,0.0,0.2296326128353042,0.5501581014075293,0.0,0.0,0.0,0.0,0.621037933378781,0.0,0.0,0.0,0.20225476282980817,0.0,0.8038116106065822,1.0,0.0,0.0,0.0,0.15073793683443615,0.0,0.0,0.23135009791654237,0.7984618454547333,0.16237677504601994,0.0,0.0
01-02 13:00:00+01:00,0.0,0.15798523499464337,0.0,0.397521499496896,0.0,0.0,0.24679801424792305,0.0,0.0,0.22763320639222914,0.5451113788147636,0.0,0.0,0.0,0.0,0.6156769614786888,0.0,0.0,0.0,0.1835478444734951,0.0,0.8051999867212924,1.0,0.0,0.0,0.0,0.14749280203337295,0.0,0.0,0.1541821596694119,0.7946682831864239,0.1708431314173252,0.0,0.0
01-02 14:00:00+01:00,0.0,0.1545639534714122,0.0,0.37838282826559727,0.0,0.0,0.2567156035290877,0.0,0.0,0.2539522822427111,0.5425617664973561,0.0,0.0,0.0,0.0,0.6061960386850662,0.0,0.0,0.0,0.11741842554248874,0.0,0.8060814401761486,1.0,0.0,0.0,0.0,0.1558946088783001,0.0,0.0,0.0,0.7988528581053231,0.2255379269424038,0.0,0.0
01-02 15:00:00+01:00,0.0,0.15525156091560918,0.0,0.4633982314157332,0.0,0.0,0.28005184923540527,0.0,0.0,0.31734654051816735,0.5507256312321137,0.0,0.0,0.0,0.0,0.5817364806638055,0.0,0.0,0.0,0.00929125106483451,0.0,0.8068598260394696,1.0,0.0,0.0,0.0,0.12750009313505412,0.0,0.0,0.0,0.7888067574133256,0.3177684870466878,0.0,0.0
01-02 16:00:00+01:00,0.0,0.15228167801479803,0.0,0.6162833820840162,0.0,0.0,0.29147472454672074,0.0,0.0,0.3947764853052916,0.012266404390772246,0.4277545141356091,0.0,0.35647299958895856,0.0,0.5571722130296072,0.0,0.0,0.31824017675366745,0.19270356342601203,0.0,0.8318641985351106,1.0,0.0,0.0,0.2948464964799459,0.07287910267182873,0.0,0.0,0.0,0.7761949921916887,0.3823058909022372,0.0,0.0
01-02 17:00:00+01:00,0.0,0.4763766486441367,0.461571921507562,1.0,0.0,0.0,0.12163831202891143,0.0,0.0,0.49436751613914964,0.6939758328365652,0.0909775821802753,0.0,0.4017650083513442,0.202337280913616,0.3955057022985254,0.0,0.0,0.29460255100248756,0.0,0.0,0.35059250673588466,0.4981889124337579,0.0,0.0,0.43399141711803335,0.0,0.0,0.0,0.0,0.618823158899802,0.0,0.0,0.0
01-02 18:00:00+01:00,0.0,0.48855988471258777,0.4570904231350178,1.0,0.0,0.0,0.11258646323564481,0.3059764235161275,0.0,0.6659906227306417,0.6546122865613389,0.0,0.0,0.0,0.0,0.0,0.4208861798765586,0.0,0.20422067873134328,0.0,0.3640951509358521,0.9858613527080152,0.4295451718490708,0.0,0.0,0.35815528536833013,0.0,0.7539156995541373,0.0,0.0,0.26024303518123665,0.0,0.0,0.0
01-02 19:00:00+01:00,0.0,0.5201106110824181,0.4723844938536295,1.0,0.0,0.0,0.1334023340036361,0.5448951671094338,0.0,0.5549945462332874,0.21954183075415573,0.0,0.0,0.20010856175050215,0.0,0.10442592792619534,0.6274056763351126,0.0,0.19869479009950247,0.0,0.6798580391606366,1.0,0.26656779240471745,0.0,0.0,0.37614489381499616,0.0,0.7849193149447828,0.0,0.0,0.3367547497363124,0.0,0.0,0.0
01-02 20:00:00+01:00,0.0,0.5727700128467349,0.507167944940783,1.0,0.0,0.0,0.23735931906478452,0.45723276168703464,0.0,0.5212070452510512,0.28739330249696254,0.0,0.0,0.24058356240079595,0.0,0.11206992322664858,0.5989403756149124,0.0,0.17726769574626866,0.0,0.6426018697651539,1.0,0.0766005619937679,0.0,0.0,0.2568814681933684,0.0,0.7529589427309915,0.0,0.0,0.33608915039896103,0.0,0.0,0.0
01-02 21:00:00+01:00,0.0,0.596170049588739,0.5262846793104787,1.0,0.0,0.0,0.306025220540556,0.1619026497699863,0.0,0.4561989294953825,0.7373072590969612,0.0,0.0,0.19457992009289746,0.0,0.24860568340187095,0.5918631393160205,0.0,0.1517818405970149,0.0,0.6494484004545249,1.0,0.08422829885327038,0.0,0.0,0.37962638901530665,0.0,0.7350931989731968,0.0,0.0,0.4383619346003243,0.0,0.0,0.0
01-02 22:00:00+01:00,0.0,0.6097873870590839,0.5336738826839122,1.0,0.0,0.0,0.36061008858866916,0.14174682354113757,0.0,0.4303865655624149,0.7744842144644265,0.0,0.0,0.0,0.0,0.2768001959936759,0.4471034425067066,0.0,0.12214058746268655,0.0,0.6718150174949475,0.8465578020796162,0.1881387881777162,0.0,0.0,0.4100368995326472,0.0,0.738914976017998,0.0,0.0,0.02549393622485656,0.0,0.26282350146090316,0.0
01-02 23:00:00+01:00,0.0,0.6100112389786313,0.5433537744227941,1.0,0.0,0.0,0.30064926368640277,0.2107228720267655,0.0,0.5761080610799688,0.8349801397319114,0.07264370787062854,0.0,0.0,0.0,0.0,0.3362452936798179,0.3415474662940557,0.0920512893283582,0.12870354426903477,0.7193507138799915,0.0,0.2998997773411474,0.0,0.0,0.4720099113868915,0.0,0.8138975280710959,0.0,0.0,0.25076676929637526,0.0,0.42368330794444214,0.0
01-03 00:00:00+01:00,0.0,0.6120662295760938,0.5525715032862504,1.0,0.0,0.0,0.3342841606102124,0.2967552101853706,0.0,0.3404448934352977,0.7316721828720598,0.6149794074619359,0.0,0.23750786957546566,0.0,0.367133660780237,0.6312950142334577,0.30438944260424505,0.0667499233084577,0.0,0.8716431294403697,0.0,0.4909762354512489,0.0,0.0,0.6240590573440468,0.0,0.819950036389749,0.0,0.0,0.5571027316282627,0.5802018146329744,0.5142109363894851,0.0
01-03 01:00:00+01:00,0.14780226575639432,0.5380862487281883,0.5023424529464074,1.0,0.0,0.08014062416788485,0.1910841621477145,0.47610567082646243,0.49677080526628203,0.675305333200052,0.5744281049971809,0.5865286326732179,0.2962401650169217,0.4758997204886527,0.4209852743613087,0.4349590867060395,0.5953537396938764,0.5154774446493222,0.04964514564676616,0.3527732446043365,0.8699441079758339,0.0,1.0,0.0,0.0,0.4948208736896156,0.013341024558269243,0.9306262821643694,0.5092156199269584,0.0,0.205492960673407,0.6763113874816999,0.9251037850064041,0.0
01-03 02:00:00+01:00,0.14802583727791585,0.0,0.3818511308856551,0.7272214623486428,0.0,0.0,0.09284420978568522,0.3330482378118274,0.05096387923961369,0.2637535913221931,0.6413303274836639,0.610602328279683,0.0,0.6068141241926176,0.0,0.0,0.646953249155046,0.3158136149713633,0.04067545997512438,0.30198475224082727,0.9931065425007989,0.007352613456543598,0.6536140960168135,0.0,0.0,0.5493627856857656,0.0,0.8618659429411748,0.0,0.0,0.16497078017057565,0.6265803842447007,0.6520168752099581,0.0
01-03 03:00:00+01:00,0.0,0.0,0.1402338683012275,0.7273825965472274,0.0,0.0,0.0,0.1573326180252121,0.0,0.1302957753840313,0.6483703150721859,0.27232823469550965,0.0,0.24530932491486748,0.0,0.0,0.5758318760358667,0.0,0.037916908258706465,0.15564060159435175,0.970182259146996,0.25567046616374567,0.5917843317743043,0.0,0.0,0.5657210040688264,0.0,0.8046442913207859,0.0,0.0,0.16825784093816626,0.26808094488522966,0.31406717341016727,0.0
01-03 04:00:00+01:00,0.0,0.0,0.1453219178981352,0.7757701565239566,0.0,0.0,0.0,0.1638189816743889,0.0,0.14510386511520934,0.6403512884674326,0.25829367628708827,0.0,0.25127088517700924,0.0,0.0,0.5659618525440386,0.0,0.04110593460199005,0.14893527147672925,0.9482882541834005,0.24394040589409363,0.7396902980060251,0.0,0.0,0.5555087241879608,0.0,0.7974169851402924,0.0,0.0,0.17721504754797437,0.21639738345556914,0.3122219864061744,0.0
01-03 05:00:00+01:00,0.0,0.19891471394235302,0.46599995676527045,0.8525550036846653,0.0,0.0,0.02797632752596914,0.27165629165673455,0.0,0.18128299674392892,0.6564089151961444,0.6035029079054648,0.0,0.34703473759351894,0.0,0.020944988177889437,0.6474207873256138,0.06709923024022785,0.053141653855721394,0.26193598546384744,1.0,0.05706546351055634,1.0,0.0,0.0,0.5741727691754661,0.020819761997317165,0.8382054433590873,0.0,0.0,0.19962499263861738,0.5171367752709191,0.5155954972074718,0.0
01-03 06:00:00+01:00,0.0,0.5606776921292622,0.542123887217215,1.0,0.0,0.0,0.1497578260763006,0.34926518725687755,0.0,0.34715225304723174,0.6349812658754159,0.2741999495246562,0.0,0.2542329598779933,0.0,0.0,0.5809480541134768,0.0,0.08800131373134329,0.21466933980403247,0.7473483891681614,0.052340285715356406,0.40483570524795826,0.0,0.0,0.5615395484507317,0.0,0.7531331894425002,0.0,0.0,0.1933450388059701,0.0,0.40533559519097073,0.0
01-03 07:00:00+01:00,0.0,0.519990307026957,0.5330532694258318,1.0,0.0,0.0,0.14014930792117064,0.0,0.0,0.5444515962563761,0.8132918883679986,0.0,0.0,0.0,0.0,0.0,0.2786973488469478,0.0,0.1287558404726368,0.0,0.20147644342553087,0.0,0.4847753822212095,0.0,0.0,0.0,0.0,0.5263541460560794,0.0,0.0,0.22154873987206825,0.0,0.0,0.0
01-03 08:00:00+01:00,0.0,0.5070719588830265,0.5318809254100482,1.0,0.0,0.0,0.1412188288939071,0.0,0.0,0.5320349368858986,0.6646342421099202,0.0,0.0,0.0,0.0,0.0,0.38100617246987095,0.0,0.1664355484079602,0.017145012458758775,0.0,1.0,0.48115617420617307,0.0,0.0,0.14191762869772498,0.0,0.13425248448948732,0.0,0.0,0.25389213944562894,0.0,0.0,0.0
01-03 09:00:00+01:00,0.0,0.4940411506722851,0.534126036342171,1.0,0.0,0.0,0.12130844808732966,0.0,0.0,0.44478459628221906,0.44053243511178397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029097306171641794,0.0,0.0,0.2524970492670611,0.5828767673745435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25547118059701485,0.0,0.0,0.0
01-03 10:00:00+01:00,0.0,0.4543352925222617,0.5328487024760351,1.0,0.0,0.6845872194444441,0.0059646618731855165,0.0,0.0,0.593935723177041,0.07320930318488417,0.9756405101589913,0.0,0.0,0.0,0.03882172173135033,0.7534073727811746,0.0,0.41698228455472636,0.15718528713010838,0.5244797678815222,0.82051371764499,0.8378952090368983,0.0,0.0,0.0,0.0,0.0,0.3882617140320872,0.0,0.2882650680938227,0.0,0.0,0.0
01-03 11:00:00+01:00,0.7651814690713101,0.4406364901953055,0.5295021051902674,1.0,0.0,0.0,0.0,0.0,0.5736340030998083,0.07750990228974754,0.24657635304974765,1.0,0.13034771808457712,0.0337106646294802,0.0,0.489586347844147,0.4893351550277037,0.6643367441162893,0.32644711709743357,0.5315217341241645,0.17886805034946662,0.8122330316541793,0.9560991194716241,0.0,0.0,0.14271976049393054,0.06546479897477096,0.0,0.0,0.0,0.6763522250177976,0.0,0.0,0.0
01-03 12:00:00+01:00,0.7495254222437804,0.3745210153013424,0.48421526747878135,0.7540099012862449,0.0,0.0,0.1335681026458,0.0,0.6464022750374927,0.03163473751826256,0.2681431415890699,1.0,0.08685009121477327,0.008081370133195159,0.0,0.49236932170172804,0.42659954562481706,0.7071739001439551,0.0,0.5328365137441305,0.25276719331883224,0.8144148713701196,1.0,0.0,0.0,0.05137956929911679,0.02746920889960991,0.0,0.0,0.0,0.7344931994117156,0.0,0.0,0.0
01-03 13:00:00+01:00,0.0,0.1305987801454554,0.0,0.6611431756486098,0.0,0.0,0.12319267760568581,0.0,0.0,0.2398992691932982,0.11538674136728,0.5956393779639014,0.0,0.0,0.0,1.0,0.024660164852985347,0.38617147769497784,0.0,0.42658671846105956,0.06504532833480765,0.8226403492296129,1.0,0.0,0.0,0.0,0.05753872489988299,0.0,0.0,0.0,0.3653718021151484,0.0,0.0,0.0
01-03 14:00:00+01:00,0.0,0.12700357185774241,0.0,0.631115378127612,0.0,0.0,0.11978785321383367,0.0,0.0,0.2608668261650026,0.10144433119636902,0.5698654421714955,0.0,0.0,0.0,1.0,0.0,0.33015280509379946,0.0,0.3603640683515925,0.03630192832584798,0.8237533471398739,1.0,0.0,0.0,0.0,0.06846055975348259,0.0,0.0,0.0,0.3607504359196273,0.0,0.0,0.0
