,Network_Line_In_N_101_N_102_cac1,Network_Line_In_N_103_N_124_cac1,Network_Line_In_N_106_N_108_cac1,Network_Line_In_N_109_N_111_cac1,Network_Line_In_N_115_N_116_cac1,Network_Line_In_N_116_N_117_cac1,Network_Line_In_N_117_N_118_cac1,Network_Line_In_N_118_N_121_cac1,,,,,,,,,
26,-4.89E-06,-4.12E-05,8.93E-05,-7.74E-05,-0.000194143,0.000862587,0.000361759,0.000717227,,,,,,,,,
27,-4.12E-05,-9.21E-05,3.92E-05,-6.89E-05,-0.000208389,0.000815805,0.00031326,0.000675969,,,,,,,,,
28,2.42E-05,-1.06245E-05,1.17E-04,-2.57E-05,-0.000177972,0.000863351,0.000376064,0.00083695,,,,,,,,,
29,-6.53E-05,-1.03E-04,0.000136565,-3.51E-06,-0.000216901,0.00081981,0.000346944,0.001061749,,,,,,,,,
30,3.70E-06,-6.583E-05,0.000161886,8.92E-06,-0.000115879,0.000775766,0.00029058,0.001094092,,,,,,,,,
31,-8.68E-05,-0.000186931,4.5318E-05,-1.20E-04,-1.06E-04,0.000783577,0.000289805,0.001150657,,,,,,,,,
32,-9.20E-05,-0.000227604,-3.5241E-05,-1.11E-04,-6.15E-05,0.000874639,0.000357669,0.001148761,,,,,,,,,
33,-1.11E-04,-0.000246417,-5.15E-05,-1.19E-04,-3.84E-05,0.001065172,0.000429552,0.00119146,,,,,,,,,
34,-1.20E-04,-2.41E-04,-8.67545E-05,-1.51E-04,-4.82E-05,0.001104135,0.000400312,0.000739198,,,,,,,,,
35,-8.61E-05,-0.000219814,-7.26E-05,-1.43E-04,-4.74E-05,0.001125429,0.000414688,0.000648964,,,,,,,,,
36,-7.93E-05,-0.000207931,-7.71E-05,-1.47E-04,-4.13E-05,0.00113617,0.00042823,0.000624616,,,,,,,,,
37,-9.14E-05,-0.000220007,-8.75E-05,-1.27E-04,-2.54E-05,0.001120955,0.000437506,0.000600149,,,,,,,,,
38,-1.72E-05,-0.000178758,-1.54E-05,-2.61E-05,3.67355E-05,0.001479313,0.00054178,0.000874344,,,,,,,,,
39,-2.69E-05,-0.000260431,-5.74175E-05,5.5772E-05,0.000213475,0.001872708,0.000797123,0.001033363,,,,,,,,,
40,-1.49E-05,-0.000277997,-9.57E-05,9.04E-05,0.000258393,0.001921417,0.000842634,0.001020271,,,,,,,,,
41,-0.000112716,-0.000369609,-0.000190698,-0.00016205,0.000100351,0.001849558,0.000740066,0.001097147,,,,,,,,,
42,0.001990364,-0.004142582,-0.000378925,6.61995E-05,0.002227651,0.004077112,0.003080878,0.003567398,,,,,,,,,
43,-1.33E-04,-0.000383952,-2.05E-04,-1.88E-04,0.000105497,0.00166804,0.000717032,0.001265905,,,,,,,,,
44,-1.12E-04,-0.000346527,-1.66E-04,-0.000128541,0.000131596,0.001629952,0.000696926,0.001289329,,,,,,,,,
45,-7.22E-05,-3.01E-04,-1.47E-04,-0.000113029,0.000137113,0.001610834,0.000658985,0.001320914,,,,,,,,,
46,3.00E-06,-0.00016978,-1.44E-05,-9.82E-05,3.2827E-05,0.001214351,0.000478241,0.001223702,,,,,,,,,
47,3.36E-05,-9.97745E-05,0.000216395,-4.34E-05,-6.14E-05,0.001101367,0.000406928,0.001109589,,,,,,,,,
48,3.10E-05,-5.9176E-05,2.50E-04,3.68E-05,-0.000103165,0.000950959,0.000409633,0.00103822,,,,,,,,,
49,-5.85E-07,-8.0105E-05,0.000193488,2.12E-05,-0.000154689,0.000924066,0.000398848,0.001059752,,,,,,,,,
50,-2.80E-05,-7.39398E-05,0.000182778,6.64E-06,-0.000183452,0.000913557,0.000400711,0.001066208,,,,,,,,,
51,-6.20E-05,-0.000101656,0.000146601,-1.39E-05,-0.000218157,0.000883702,0.000372272,0.001050699,,,,,,,,,
52,-4.30E-05,-0.000109002,0.000148271,1.75E-05,-0.000190489,0.000869312,0.000372824,0.001081456,,,,,,,,,
53,-1.72E-06,-6.2857E-05,0.00016975,4.74E-05,-0.000134844,0.000839342,0.000330691,0.001100216,,,,,,,,,
54,-7.59E-05,-0.00017596,8.0183E-05,-1.03E-04,-1.07E-04,0.000787061,0.000288331,0.001169093,,,,,,,,,
55,-0.000163406,-3.56E-04,-1.53E-04,-0.000144906,4.9438E-05,0.001360383,0.000564627,0.00133514,,,,,,,,,
56,-0.000141937,-3.34E-04,-1.32E-04,-0.000123605,8.1115E-05,0.001547583,0.000628334,0.001369503,,,,,,,,,
57,-1.11E-04,-0.000312493,-1.19E-04,-0.000137765,0.000110827,0.00163589,0.000653296,0.001296725,,,,,,,,,
58,-7.90E-05,-0.000291832,-0.000106141,-1.92E-04,7.16965E-05,0.001620661,0.000631853,0.001165889,,,,,,,,,
59,-5.90E-05,-0.000253306,-7.9561E-05,-0.000205942,1.3962E-05,0.001514845,0.000555712,0.001117345,,,,,,,,,
60,-5.60E-05,-0.000271521,-0.000107225,-1.87E-04,1.3847E-05,0.001561288,0.000586726,0.001072757,,,,,,,,,
61,-1.03E-04,-0.000323775,-0.000132662,-0.000143833,9.58045E-05,0.001687442,0.000687443,0.001066563,,,,,,,,,
62,-6.82E-05,-0.000321299,-0.000144672,-5.37E-05,0.000147267,0.001730606,0.000713935,0.000980026,,,,,,,,,
63,-2.02E-05,-0.000263821,-8.4784E-05,2.28E-05,0.000214563,0.001935458,0.000842693,0.001048257,,,,,,,,,
64,0.004011336,-0.004912151,0.002046958,0.003885959,0.008445385,0.058391756,0.027867725,0.026004911,,,,,,,,,
65,-0.005064605,-0.021480545,-0.005555925,-0.00882257,0.00315869,0.12276748,0.050081245,0.069141345,,,,,,,,,
66,-0.00503168,-0.02151521,-0.005797285,-0.00974711,0.00305818,0.12044456,0.049407435,0.07271513,,,,,,,,,
67,-0.002913077,-0.016695599,-0.004988717,-0.0065429,0.003066085,0.113367585,0.04080603,0.065914175,,,,,,,,,
68,-1.53E-04,-0.000389894,-2.02E-04,-2.11E-04,0.000105045,0.001795213,0.000704745,0.001148283,,,,,,,,,
69,-0.000120384,-0.00035036,-1.66E-04,-0.000126425,0.000131673,0.001721214,0.000681999,0.001190073,,,,,,,,,
70,-5.96E-07,-0.000247613,-8.06E-05,-1.20E-04,0.000137426,0.001643214,0.000642121,0.001241208,,,,,,,,,
71,6.60E-05,-6.75E-05,1.76E-04,-4.21E-05,-2.38E-05,0.001131934,0.000418134,0.001071879,,,,,,,,,
72,-1.11E-05,-1.25E-04,0.000328857,-3.38E-05,-1.33E-04,0.001026657,0.000373851,0.000996354,,,,,,,,,
73,1.68E-05,-7.2699E-05,0.000310049,3.56E-05,-0.000133652,0.000935667,0.000385091,0.001052287,,,,,,,,,
74,-2.95E-05,-8.34395E-05,0.000222128,1.76E-05,-0.000173498,0.000887565,0.000372816,0.001062218,,,,,,,,,
75,-4.47E-05,-8.49E-05,0.000182886,7.61E-06,-0.00018163,0.000876207,0.000372813,0.001069252,,,,,,,,,
76,-2.84E-05,-8.56E-05,0.000237525,1.76E-05,-0.000162095,0.00087611,0.000372824,0.00107408,,,,,,,,,
77,-5.27E-05,-1.20E-04,0.000248879,-4.72E-05,-0.000157431,0.000840298,0.000280804,0.0010974,,,,,,,,,
78,-5.41E-05,-0.000208143,7.99E-06,-1.72E-04,-3.71E-05,0.00106426,0.000425861,0.001273521,,,,,,,,,
79,-1.50E-04,-3.72E-04,-1.78E-04,-1.11E-04,0.000105895,0.001468238,0.000625476,0.00128102,,,,,,,,,
80,-1.54E-04,-0.000366747,-1.77E-04,-7.27E-05,0.000110598,0.001532399,0.000638892,0.001270187,,,,,,,,,
81,-1.78E-04,-0.00039085,-2.17E-04,-1.09E-04,0.000105013,0.00161941,0.00063188,0.001168859,,,,,,,,,
82,-1.22E-04,-0.000353631,-0.000176292,-2.23E-05,0.000142491,0.001742418,0.000705528,0.0010628,,,,,,,,,
83,-1.02E-04,-0.000335731,-0.000137759,-1.227E-05,0.000152455,0.001800474,0.00074815,0.001045943,,,,,,,,,
84,-8.35E-05,-0.000304367,-0.0001,7.19E-07,0.000191633,0.001824693,0.00078867,0.001045697,,,,,,,,,
85,-4.17E-05,-0.000282586,-8.87555E-05,2.60965E-05,0.00018882,0.001809421,0.000773303,0.001026828,,,,,,,,,
86,-9.54E-06,-0.000262424,-6.2146E-05,1.82425E-05,0.000201472,0.001827938,0.000787496,0.000981946,,,,,,,,,
87,2.67E-05,-0.00022574,4.046E-06,3.77E-05,0.000257318,0.002005384,0.00088719,0.001065214,,,,,,,,,
88,0.006105802,-0.002518818,0.00179219,0.002452755,0.01082714,0.089937118,0.031993705,0.032582215,,,,,,,,,
89,-0.001895995,-0.018552705,-0.00220114,-0.007384065,0.00480664,0.12369418,0.052492615,0.073080405,,,,,,,,,
90,-0.002757065,-0.019150755,-0.003691925,-0.009202745,0.003167775,0.11817472,0.050703985,0.07652646,,,,,,,,,
91,0.002845013,-0.006900837,0.000173081,-0.000927709,0.003379643,0.106150603,0.039206663,0.059571283,,,,,,,,,
92,-1.42E-04,-0.000389602,-2.03E-04,-1.96E-04,0.000106707,0.001683116,0.000714541,0.001228757,,,,,,,,,
93,-1.12E-04,-0.000342209,-1.59E-04,-1.31E-04,0.000131674,0.001656208,0.00068191,0.001285594,,,,,,,,,
94,-6.21E-06,-0.000253226,-8.22E-05,-1.30E-04,0.000136588,0.001629916,0.000642508,0.001299024,,,,,,,,,
95,6.86E-05,-7.16E-05,1.09E-04,-3.50E-05,-7.75E-06,0.001149103,0.000412438,0.001129307,,,,,,,,,
96,3.91E-05,-7.50E-05,0.000264834,-8.23E-06,-6.96E-05,0.001071356,0.00042231,0.001080792,,,,,,,,,
97,3.84E-05,-5.05263E-05,0.000237606,4.81E-05,-0.000109263,0.000953849,0.000400897,0.001077257,,,,,,,,,
98,-1.14E-05,-8.76E-05,0.000154119,2.95E-05,-0.000164751,0.000901219,0.000373274,0.001082484,,,,,,,,,
99,-1.77E-05,-9.2201E-05,0.000161647,2.50E-05,-0.000170526,0.000895787,0.000383254,0.001081507,,,,,,,,,
100,-3.21E-05,-0.000101537,0.00014694,3.76E-05,-0.000175923,0.00087307,0.000372812,0.001096591,,,,,,,,,
101,-1.84E-05,-8.2124E-05,0.000157531,4.63E-05,-0.000157252,0.000859447,0.000363637,0.001103763,,,,,,,,,
102,4.3995E-06,-6.25815E-05,0.000192143,6.33E-05,-0.000106923,0.000801705,0.000317831,0.001107354,,,,,,,,,
103,-2.68E-05,-0.000124895,0.00011361,-7.07E-05,-1.02E-04,0.000744484,0.000259776,0.001193512,,,,,,,,,
104,-6.25E-05,-0.000160154,3.22E-05,-1.03E-04,-1.18E-04,0.000660025,0.000264994,0.001189161,,,,,,,,,
105,-9.05E-05,-0.000238464,-2.00E-05,-1.35E-04,-4.56E-05,0.000986721,0.000388551,0.001317278,,,,,,,,,
106,-7.82E-05,-0.000240705,-6.03E-05,-8.94E-05,-2.8521E-05,0.001318455,0.000474762,0.000976347,,,,,,,,,
107,-5.26E-05,-0.000212454,-2.81E-05,-5.13E-05,-1.43E-05,0.001335044,0.000494938,0.000755932,,,,,,,,,
108,-1.21E-05,-0.000170202,8.05E-06,-2.02E-05,2.26E-05,0.001357828,0.000524208,0.000770684,,,,,,,,,
109,2.52E-05,-0.000151068,1.49E-05,-3.55E-05,5.02E-05,0.001365609,0.000548348,0.000756677,,,,,,,,,
110,3.89E-05,-0.000137933,2.35E-05,-4.26E-05,8.91315E-05,0.001682088,0.000688434,0.000975203,,,,,,,,,
111,3.02E-05,-0.000198096,-2.10585E-05,-7.18495E-05,0.000169129,0.001782593,0.000772756,0.001005192,,,,,,,,,
112,1.25E-05,-0.000245299,-7.93715E-05,-9.00775E-05,0.000181813,0.001851823,0.000784696,0.001046479,,,,,,,,,
113,2.91E-06,-0.000264447,-0.000102076,-2.02E-04,0.000111148,0.001687863,0.000756026,0.001284257,,,,,,,,,
114,-3.23E-05,-0.000279712,-8.67E-05,-2.50E-04,0.000105344,0.001513843,0.000684426,0.001379506,,,,,,,,,
115,-4.62E-06,-0.000250001,-5.62E-05,-1.94E-04,0.00011912,0.001433198,0.000667461,0.001395221,,,,,,,,,
116,-1.37E-05,-0.000243653,-5.95E-05,-1.95E-04,0.000118784,0.001396247,0.000644728,0.001429074,,,,,,,,,
117,4.26E-05,-0.000185356,-3.93E-05,-1.49E-04,1.35E-04,0.001419921,0.000634745,0.001468253,,,,,,,,,
118,7.89E-05,-9.4559E-05,3.31E-05,-1.23E-04,-2.43E-07,0.001042124,0.000408493,0.00123781,,,,,,,,,
119,8.32E-05,-3.19E-05,0.000249557,-2.26E-05,-1.80E-05,0.001092531,0.00045529,0.001225047,,,,,,,,,
120,5.89E-05,-0.000030029,0.000260801,3.62E-05,-9.54785E-05,0.000955962,0.000431151,0.001084798,,,,,,,,,
121,2.49E-05,-4.55902E-05,0.000186149,1.53E-05,-0.000142794,0.000911787,0.000401639,0.001079161,,,,,,,,,
122,-1.27E-05,-6.27672E-05,0.000174262,-1.97E-05,-0.000191294,0.000871677,0.000380125,0.001068011,,,,,,,,,
123,-3.80E-05,-8.80061E-05,1.53E-04,-4.57E-05,-0.000227842,0.000844356,0.000363398,0.001043159,,,,,,,,,
124,-4.61E-05,-9.61945E-05,1.44E-04,-3.69E-05,-0.000234492,0.000827439,0.000354774,0.001027104,,,,,,,,,
125,-4.48E-05,-9.03417E-05,0.000128903,-1.65E-05,-0.00021692,0.000803098,0.000338983,0.001020231,,,,,,,,,
126,-4.10E-06,-6.18398E-05,0.000139397,1.15E-05,-0.000161626,0.00078433,0.000349127,0.001084015,,,,,,,,,
127,1.63E-05,-3.73238E-05,0.00019379,2.03E-05,-0.000124696,0.000755619,0.000330359,0.001102232,,,,,,,,,
128,6.47E-06,-6.87E-05,0.000244457,-9.63E-06,-1.04E-04,0.000696693,0.000330445,0.001199014,,,,,,,,,
129,-1.71E-05,-1.03E-04,6.78295E-05,-7.55E-05,-1.07E-04,0.000833646,0.000316285,0.001209941,,,,,,,,,
130,-2.28E-05,-1.34E-04,4.08E-06,-1.34E-04,-5.69E-05,0.001071494,0.000386395,0.000836119,,,,,,,,,
131,-1.20E-07,-0.000128712,2.31E-07,-1.31E-04,-3.81E-05,0.001120504,0.000429024,0.000707459,,,,,,,,,
132,4.20E-05,-8.69595E-05,4.38E-05,-1.09E-04,-3.91E-05,0.001133897,0.000435133,0.000755616,,,,,,,,,
133,4.62E-05,-7.76755E-05,5.36E-05,-9.53E-05,-4.6782E-05,0.001126052,0.000418511,0.000751794,,,,,,,,,
134,7.11E-05,-6.88215E-05,6.00E-05,-1.24E-04,-3.219E-06,0.00113821,0.000453461,0.000712067,,,,,,,,,
135,1.19E-04,-5.87965E-05,1.02E-04,-1.66E-04,3.05E-05,0.001407392,0.000556394,0.000843532,,,,,,,,,
136,9.79E-05,-0.00016655,-6.14E-06,-0.000174861,0.000140116,0.001698155,0.000737607,0.001145091,,,,,,,,,
137,5.20E-05,-0.000188976,-3.06E-06,-2.06E-04,0.000131204,0.00152148,0.000709162,0.001395644,,,,,,,,,
138,2.66E-05,-0.000212337,-2.52E-05,-2.08E-04,0.000119333,0.001311612,0.000660926,0.001403213,,,,,,,,,
139,6.64E-06,-0.000234555,-3.98E-05,-1.97E-04,0.000119333,0.001300186,0.000659857,0.001409699,,,,,,,,,
140,9.48E-06,-0.000221436,-4.85E-05,-1.89E-04,0.000118765,0.001328162,0.0006456,0.001451291,,,,,,,,,
141,4.61E-05,-0.000190551,-1.96E-05,-1.41E-04,0.000138436,0.001376164,0.000606806,0.001479854,,,,,,,,,
142,7.26E-05,-5.4002E-05,1.13E-04,-1.15E-04,-1.3091E-05,0.001048196,0.000403583,0.001208018,,,,,,,,,
143,8.86E-06,-1.05E-04,0.000295054,-5.22E-05,-9.50E-05,0.001019121,0.000407081,0.001120157,,,,,,,,,
144,3.50E-05,-5.3495E-05,0.000286106,3.73E-05,-0.000114024,0.000942879,0.000415385,0.001091756,,,,,,,,,
145,-2.61E-05,-8.15E-05,0.000172157,-7.53E-07,-0.00017865,0.000891205,0.000378396,0.001081936,,,,,,,,,
146,-5.91E-05,-0.000109122,0.000150919,-1.59E-05,-0.000210211,0.000859965,0.000361529,0.001080025,,,,,,,,,
147,-6.08E-05,-0.000105667,0.00014921,-1.56E-05,-0.000219874,0.000846166,0.000359297,0.001081564,,,,,,,,,
148,-5.30E-05,-0.000111349,0.000154931,2.12E-05,-0.000184235,0.000832282,0.000359297,0.001115568,,,,,,,,,
149,1.38E-06,-6.3751E-05,0.000256363,2.09E-05,-9.7603E-05,0.000818849,0.000322234,0.001167271,,,,,,,,,
150,-8.53E-05,-0.000275131,-4.09E-05,-2.21E-04,1.15865E-05,0.000994653,0.000497342,0.00139453,,,,,,,,,
151,-1.73E-04,-3.88E-04,-1.56E-04,-0.000101858,9.1217E-05,0.001310788,0.000596787,0.001318198,,,,,,,,,
152,-5.9216E-05,-0.005800391,-0.000211248,-0.001391644,0.001165292,0.02448201,0.010404759,0.02250044,,,,,,,,,
153,0.001162369,-0.0071166,0.001339759,-0.000828438,0.001753068,0.048896322,0.020658561,0.032333398,,,,,,,,,
154,-6.6559E-05,-3.05E-04,-1.15E-04,-5.40E-05,0.00012564,0.001807135,0.00074644,0.00113079,,,,,,,,,
155,-2.97E-05,-0.000275477,-6.1255E-05,3.2663E-05,0.000192963,0.001836755,0.000787326,0.001017985,,,,,,,,,
156,-2.49E-05,-0.000266135,-6.73685E-05,4.60205E-05,0.000240634,0.001864955,0.000817228,0.001000799,,,,,,,,,
157,-3.37E-05,-0.000269416,-7.34405E-05,6.067E-05,0.000261225,0.001893505,0.000839841,0.001020669,,,,,,,,,
158,-3.73E-05,-0.000274324,-6.4255E-05,6.3891E-05,0.000278986,0.001975986,0.000887561,0.001063059,,,,,,,,,
159,1.38E-03,-0.000536739,0.001373475,0.001275473,0.001744901,0.003754821,0.002659448,0.00270378,,,,,,,,,
160,-1.3038E-05,-0.011342092,-0.002208072,-0.003770324,0.01653157,0.130759785,0.05980714,0.04835335,,,,,,,,,
161,-0.003924405,-0.018662505,-0.000666505,-0.00740289,0.004736085,0.12308857,0.05381762,0.074096655,,,,,,,,,
162,-0.0054641,-0.02061376,-0.00222803,-0.00745873,0.003262665,0.11707663,0.052401455,0.07886555,,,,,,,,,
163,-0.00705581,-0.0211618,-0.00435281,-0.005219415,0.00420092,0.11695707,0.05220716,0.078879345,,,,,,,,,
164,0.000184116,-0.007245955,-0.000286656,0.001928929,0.002004514,0.05678092,0.017819446,0.033675002,,,,,,,,,
165,-1.56E-04,-0.000369455,-1.76E-04,-5.04E-05,0.000160241,0.001629101,0.000724518,0.001340355,,,,,,,,,
166,-1.03E-04,-0.000318721,-1.18E-04,-1.33E-04,0.00010955,0.001522172,0.000629846,0.001362924,,,,,,,,,
167,2.69E-06,-0.000136253,7.52E-05,-5.35E-05,-4.25E-05,0.001027911,0.000358894,0.001141253,,,,,,,,,
168,1.86E-05,-9.65E-05,0.000221659,-4.27E-05,-6.30E-05,0.001035851,0.000381794,0.001147122,,,,,,,,,
169,-9.31E-07,-7.76795E-05,0.000287526,3.05E-05,-0.000111133,0.000911505,0.000376944,0.001129102,,,,,,,,,
170,-1.25E-05,-7.29335E-05,0.000245032,5.06E-05,-0.000133406,0.000883215,0.000372816,0.001108326,,,,,,,,,
171,-2.43E-05,-8.67E-05,0.000217021,3.84E-05,-0.000142492,0.000875693,0.000372816,0.001112014,,,,,,,,,
172,-7.89E-06,-6.73E-05,0.000248503,4.16E-05,-0.000122599,0.000873741,0.00036442,0.00112765,,,,,,,,,
173,-8.13E-06,-9.7491E-05,0.000160359,-8.71E-05,-1.00E-04,0.000858631,0.000289965,0.001221612,,,,,,,,,
174,-0.000135538,-3.17E-04,-1.09E-04,-0.000149231,7.9431E-05,0.001409166,0.000604809,0.001365774,,,,,,,,,
175,-0.000498152,-0.004365787,0.000165321,0.000802198,0.002185431,0.007309182,0.006288094,0.006747859,,,,,,,,,
176,-9.20185E-05,-0.006742131,0.000899387,0.002028867,0.004679845,0.124994772,0.042678352,0.047262252,,,,,,,,,
177,0.002321378,-0.005237105,0.001965415,0.002897289,0.005443513,0.115533841,0.036125981,0.033385793,,,,,,,,,
178,0.003573604,-0.002585583,-0.001211643,0.00029821,0.005383086,0.007228222,0.006132522,0.006358314,,,,,,,,,
179,-5.82E-05,-0.000286977,-5.2303E-05,1.35E-04,0.000274916,0.001882406,0.000823378,0.000992316,,,,,,,,,
180,-5.74E-05,-0.000283945,-8.1788E-05,0.000142418,0.000327635,0.001907141,0.000846565,0.000945662,,,,,,,,,
181,-5.62E-05,-0.000292536,-9.3769E-05,0.000168253,0.000350119,0.001941156,0.000874311,0.000993658,,,,,,,,,
182,1.77E-05,-0.000260148,2.0246E-05,1.74E-04,0.000381481,0.002107714,0.000960457,0.001136857,,,,,,,,,
183,0.00507515,-0.001658047,0.002630065,0.005088157,0.018026637,0.09121309,0.038044275,0.00917517,,,,,,,,,
184,-0.00498368,-0.01827893,-0.00450249,-0.003300475,0.02251251,0.13416366,0.06575058,0.056900455,,,,,,,,,
185,-0.01001665,-0.01905137,-0.004198425,-0.0078512,0.00061065,0.10022785,0.04520383,0.05069112,,,,,,,,,
186,-0.0114849,-0.02051947,-0.005666625,-0.00496257,-0.001164155,0.08495579,0.0418175,0.044863075,,,,,,,,,
187,-0.007691125,-0.021342675,-0.003046925,-0.004900865,0.004138235,0.12592876,0.053967325,0.071292475,,,,,,,,,
188,-0.004861378,-0.01634473,-0.00449492,-0.002654152,0.00401059,0.125680925,0.053300175,0.07240606,,,,,,,,,
189,-1.90E-04,-0.000403955,-2.16E-04,-1.68E-04,0.000114862,0.00180002,0.000708404,0.001109094,,,,,,,,,
190,-7.39E-05,-0.000311613,-1.25E-04,-1.46E-04,0.000131375,0.001721382,0.000680793,0.001181688,,,,,,,,,
191,2.79E-05,-0.00014345,8.8035E-06,-1.17E-04,3.22E-05,0.00133687,0.000473038,0.001162112,,,,,,,,,
192,3.23E-05,-8.6043E-05,0.000183497,-4.30E-05,-5.20E-05,0.00109037,0.000383537,0.001091067,,,,,,,,,
193,-2.36E-05,-0.000106189,0.000269089,-1.68E-06,-0.000140309,0.000946902,0.000340414,0.001068991,,,,,,,,,
194,-2.00E-05,-7.75418E-05,0.00022205,2.65E-05,-0.000151291,0.000876636,0.00034798,0.001074006,,,,,,,,,
195,-3.61E-05,-9.3594E-05,0.000174512,1.90E-05,-0.000164878,0.000859764,0.000343599,0.001076993,,,,,,,,,
196,-3.6534E-05,-9.37803E-05,1.73E-04,9.82E-06,-0.00016005,0.000840172,0.000316366,0.001078014,,,,,,,,,
197,-5.57E-06,-0.000099577,0.000117507,-9.88E-05,-9.91E-05,0.000871096,0.000308983,0.001207806,,,,,,,,,
198,-1.10E-04,-3.28E-04,-1.17E-04,-0.000153646,0.00011548,0.001453165,0.000629991,0.001357298,,,,,,,,,
199,-0.000763631,-0.004806546,-0.00025852,-0.000189584,0.001957447,0.015274532,0.011817806,0.014643174,,,,,,,,,
200,0.00086343,-0.008010866,-0.001273282,-0.003037057,0.007548045,0.089338165,0.027853625,0.028071914,,,,,,,,,
201,0.00365762,-0.00784753,-0.001269299,-0.006274754,0.01294763,0.041848338,0.026602867,0.02200128,,,,,,,,,
202,-8.44E-05,-0.000303142,-0.000135929,-9.22E-05,0.000158343,0.001743559,0.000713348,0.001079156,,,,,,,,,
203,-2.20E-05,-0.00025341,-6.50255E-05,-5.03E-05,0.000169615,0.001801486,0.000746789,0.001015145,,,,,,,,,
204,-6.55E-06,-0.000234257,-5.114E-05,-4.92E-05,0.00015995,0.001787977,0.000739332,0.000983275,,,,,,,,,
205,-5.44E-06,-0.00024226,-5.315E-05,-5.25E-05,0.000165283,0.001836832,0.000758596,0.000966637,,,,,,,,,
206,4.08E-06,-0.00023222,2.9835E-06,-1.03E-04,0.000212381,0.001999911,0.000847927,0.000994294,,,,,,,,,
