,,,Length,LineType,InitialPeriod,FinalPeriod,Voltage,LossFactor,Resistance,Reactance,Susceptance,Tap,TTC,TTCBck,SecurityFactor,FixedInvestmentCost,FixedChargeRate,BinaryInvestment,Switching,SwOnTime,SwOffTime,Converter,AngMin,AngMax,InvestmentLo,InvestmentUp,Sensitivity,InvestmentFixed,SensitivityGroup,SensitivityGroupValue
bus033,bus037,eac1,,AC,2020,2050,100,,0.0415,0.142,0.0366,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus034,bus036,eac1,,AC,2020,2050,100,,0.00871,0.0268,0.00568,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus034,bus037,eac1,,AC,2020,2050,100,,0.00256,0.0094,0.00984,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus037,bus039,eac1,,AC,2020,2050,100,,0.0321,0.106,0.027,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus037,bus040,eac1,,AC,2020,2050,100,,0.0593,0.168,0.042,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus030,bus038,eac1,,AC,2020,2050,100,,0.00464,0.054,0.422,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus039,bus040,eac1,,AC,2020,2050,100,,0.0184,0.0605,0.01552,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus040,bus041,eac1,,AC,2020,2050,100,,0.0145,0.0487,0.01222,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus040,bus042,eac1,,AC,2020,2050,100,,0.0555,0.183,0.0466,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus041,bus042,eac1,,AC,2020,2050,100,,0.041,0.135,0.0344,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus043,bus044,eac1,,AC,2020,2050,100,,0.0608,0.2454,0.06068,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus034,bus043,eac1,,AC,2020,2050,100,,0.0413,0.1681,0.04226,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus044,bus045,eac1,,AC,2020,2050,100,,0.0224,0.0901,0.0224,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus045,bus046,eac1,,AC,2020,2050,100,,0.04,0.1356,0.0332,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus046,bus047,eac1,,AC,2020,2050,100,,0.038,0.127,0.0316,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus046,bus048,eac1,,AC,2020,2050,100,,0.0601,0.189,0.0472,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus047,bus049,eac1,,AC,2020,2050,100,,0.0191,0.0625,0.01604,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus042,bus049,eac1,,AC,2020,2050,100,,0.0715,0.323,0.086,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus042,bus049,eac2,,AC,2020,2050,100,,0.0715,0.323,0.086,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus045,bus049,eac1,,AC,2020,2050,100,,0.0684,0.186,0.0444,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus048,bus049,eac1,,AC,2020,2050,100,,0.0179,0.0505,0.01258,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus049,bus050,eac1,,AC,2020,2050,100,,0.0267,0.0752,0.01874,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus049,bus051,eac1,,AC,2020,2050,100,,0.0486,0.137,0.0342,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus051,bus052,eac1,,AC,2020,2050,100,,0.0203,0.0588,0.01396,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus052,bus053,eac1,,AC,2020,2050,100,,0.0405,0.1635,0.04058,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus053,bus054,eac1,,AC,2020,2050,100,,0.0263,0.122,0.031,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus049,bus054,eac1,,AC,2020,2050,100,,0.073,0.289,0.0738,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus049,bus054,eac2,,AC,2020,2050,100,,0.0869,0.291,0.073,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus054,bus055,eac1,,AC,2020,2050,100,,0.0169,0.0707,0.0202,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus054,bus056,eac1,,AC,2020,2050,100,,0.00275,0.00955,0.00732,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus055,bus056,eac1,,AC,2020,2050,100,,0.00488,0.0151,0.00374,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus056,bus057,eac1,,AC,2020,2050,100,,0.0343,0.0966,0.0242,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus050,bus057,eac1,,AC,2020,2050,100,,0.0474,0.134,0.0332,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus056,bus058,eac1,,AC,2020,2050,100,,0.0343,0.0966,0.0242,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus051,bus058,eac1,,AC,2020,2050,100,,0.0255,0.0719,0.01788,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus054,bus059,eac1,,AC,2020,2050,100,,0.0503,0.2293,0.0598,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus056,bus059,eac1,,AC,2020,2050,100,,0.0825,0.251,0.0569,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus056,bus059,eac2,,AC,2020,2050,100,,0.0803,0.239,0.0536,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus055,bus059,eac1,,AC,2020,2050,100,,0.04739,0.2158,0.05646,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus059,bus060,eac1,,AC,2020,2050,100,,0.0317,0.145,0.0376,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus059,bus061,eac1,,AC,2020,2050,100,,0.0328,0.15,0.0388,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus060,bus061,eac1,,AC,2020,2050,100,,0.00264,0.0135,0.01456,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus060,bus062,eac1,,AC,2020,2050,100,,0.0123,0.0561,0.01468,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus061,bus062,eac1,,AC,2020,2050,100,,0.00824,0.0376,0.0098,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus063,bus059,eac1,,AC,2020,2050,100,,0,0.0386,0,0.96,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus063,bus064,eac1,,AC,2020,2050,100,,0.00172,0.02,0.216,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus064,bus061,eac1,,AC,2020,2050,100,,0,0.0268,0,0.985,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus038,bus065,eac1,,AC,2020,2050,100,,0.00901,0.0986,1.046,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus064,bus065,eac1,,AC,2020,2050,100,,0.00269,0.0302,0.38,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus049,bus066,eac1,,AC,2020,2050,100,,0.018,0.0919,0.0248,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus049,bus066,eac2,,AC,2020,2050,100,,0.018,0.0919,0.0248,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus062,bus066,eac1,,AC,2020,2050,100,,0.0482,0.218,0.0578,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus062,bus067,eac1,,AC,2020,2050,100,,0.0258,0.117,0.031,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus065,bus066,eac1,,AC,2020,2050,100,,0,0.037,0,0.935,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus066,bus067,eac1,,AC,2020,2050,100,,0.0224,0.1015,0.02682,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus065,bus068,eac1,,AC,2020,2050,100,,0.00138,0.016,0.638,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus047,bus069,eac1,,AC,2020,2050,100,,0.0844,0.2778,0.07092,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus049,bus069,eac1,,AC,2020,2050,100,,0.0985,0.324,0.0828,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus068,bus069,eac1,,AC,2020,2050,100,,0,0.037,0,0.935,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus069,bus070,eac1,,AC,2020,2050,100,,0.03,0.127,0.122,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus024,bus070,eac1,,AC,2020,2050,100,,0.00221,0.4115,0.10198,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus070,bus071,eac1,,AC,2020,2050,100,,0.00882,0.0355,0.00878,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus024,bus072,eac1,,AC,2020,2050,100,,0.0488,0.196,0.0488,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus071,bus072,eac1,,AC,2020,2050,100,,0.0446,0.18,0.04444,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus071,bus073,eac1,,AC,2020,2050,100,,0.00866,0.0454,0.01178,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus070,bus074,eac1,,AC,2020,2050,100,,0.0401,0.1323,0.03368,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus070,bus075,eac1,,AC,2020,2050,100,,0.0428,0.141,0.036,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus069,bus075,eac1,,AC,2020,2050,100,,0.0405,0.122,0.124,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus074,bus075,eac1,,AC,2020,2050,100,,0.0123,0.0406,0.01034,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus076,bus077,eac1,,AC,2020,2050,100,,0.0444,0.148,0.0368,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus075,bus077,eac1,,AC,2020,2050,100,,0.0601,0.1999,0.04978,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus077,bus078,eac1,,AC,2020,2050,100,,0.00376,0.0124,0.01264,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus078,bus079,eac1,,AC,2020,2050,100,,0.00546,0.0244,0.00648,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus077,bus080,eac1,,AC,2020,2050,100,,0.017,0.0485,0.0472,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus077,bus080,eac2,,AC,2020,2050,100,,0.0294,0.105,0.0228,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus079,bus080,eac1,,AC,2020,2050,100,,0.0156,0.0704,0.0187,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus068,bus081,eac1,,AC,2020,2050,100,,0.00175,0.0202,0.808,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus081,bus080,eac1,,AC,2020,2050,100,,0,0.037,0,0.935,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus077,bus082,eac1,,AC,2020,2050,100,,0.0298,0.0853,0.08174,1,700,700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus083,bus084,eac1,,AC,2020,2050,100,,0.0625,0.132,0.0258,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus083,bus085,eac1,,AC,2020,2050,100,,0.043,0.148,0.0348,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus084,bus085,eac1,,AC,2020,2050,100,,0.0302,0.0641,0.01234,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus085,bus086,eac1,,AC,2020,2050,100,,0.035,0.123,0.0276,1,3500,3500,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus086,bus087,eac1,,AC,2020,2050,100,,0.02828,0.2074,0.0445,1,3500,3500,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus085,bus088,eac1,,AC,2020,2050,100,,0.02,0.102,0.0276,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus085,bus089,eac1,,AC,2020,2050,100,,0.0239,0.173,0.047,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus088,bus089,eac1,,AC,2020,2050,100,,0.0139,0.0712,0.01934,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus089,bus090,eac1,,AC,2020,2050,100,,0.0518,0.188,0.0528,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus089,bus090,eac2,,AC,2020,2050,100,,0.0238,0.0997,0.106,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus090,bus091,eac1,,AC,2020,2050,100,,0.0254,0.0836,0.0214,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus089,bus092,eac1,,AC,2020,2050,100,,0.0099,0.0505,0.0548,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus089,bus092,eac2,,AC,2020,2050,100,,0.0393,0.1581,0.0414,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus091,bus092,eac1,,AC,2020,2050,100,,0.0387,0.1272,0.03268,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus092,bus093,eac1,,AC,2020,2050,100,,0.0258,0.0848,0.0218,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus092,bus094,eac1,,AC,2020,2050,100,,0.0481,0.158,0.0406,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus094,bus095,eac1,,AC,2020,2050,100,,0.0132,0.0434,0.0111,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus080,bus096,eac1,,AC,2020,2050,100,,0.0356,0.182,0.0494,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus082,bus096,eac1,,AC,2020,2050,100,,0.0162,0.053,0.0544,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus094,bus096,eac1,,AC,2020,2050,100,,0.0269,0.0869,0.023,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus080,bus097,eac1,,AC,2020,2050,100,,0.0183,0.0934,0.0254,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus080,bus098,eac1,,AC,2020,2050,100,,0.0238,0.108,0.0286,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus092,bus100,eac1,,AC,2020,2050,100,,0.0648,0.295,0.0472,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus095,bus096,eac1,,AC,2020,2050,100,,0.0171,0.0547,0.01474,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus096,bus097,eac1,,AC,2020,2050,100,,0.0173,0.0885,0.024,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus098,bus100,eac1,,AC,2020,2050,100,,0.0397,0.179,0.0476,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus100,bus101,eac1,,AC,2020,2050,100,,0.0277,0.1262,0.0328,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus092,bus102,eac1,,AC,2020,2050,100,,0.0123,0.0559,0.01464,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus101,bus102,eac1,,AC,2020,2050,100,,0.0246,0.112,0.0294,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus100,bus103,eac1,,AC,2020,2050,100,,0.016,0.0525,0.0536,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus100,bus104,eac1,,AC,2020,2050,100,,0.0451,0.204,0.0541,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus103,bus104,eac1,,AC,2020,2050,100,,0.0466,0.1584,0.0407,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus103,bus105,eac1,,AC,2020,2050,100,,0.0535,0.1625,0.0408,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus100,bus106,eac1,,AC,2020,2050,100,,0.0605,0.229,0.062,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus104,bus105,eac1,,AC,2020,2050,100,,0.00994,0.0378,0.00986,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus105,bus106,eac1,,AC,2020,2050,100,,0.014,0.0547,0.01434,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus105,bus107,eac1,,AC,2020,2050,100,,0.053,0.183,0.0472,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus105,bus108,eac1,,AC,2020,2050,100,,0.0261,0.0703,0.01844,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus106,bus107,eac1,,AC,2020,2050,100,,0.053,0.183,0.0472,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus108,bus109,eac1,,AC,2020,2050,100,,0.0105,0.0288,0.0076,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus103,bus110,eac1,,AC,2020,2050,100,,0.03906,0.1813,0.0461,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus109,bus110,eac1,,AC,2020,2050,100,,0.0278,0.0762,0.0202,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus110,bus111,eac1,,AC,2020,2050,100,,0.022,0.0755,0.02,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus110,bus112,eac1,,AC,2020,2050,100,,0.0247,0.064,0.062,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus032,bus113,eac1,,AC,2020,2050,100,,0.0615,0.203,0.0518,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus032,bus114,eac1,,AC,2020,2050,100,,0.0135,0.0612,0.01628,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus027,bus115,eac1,,AC,2020,2050,100,,0.0164,0.0741,0.01972,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus114,bus115,eac1,,AC,2020,2050,100,,0.0023,0.0104,0.00276,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus068,bus116,eac1,,AC,2020,2050,100,,0.00034,0.00405,0.164,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus075,bus118,eac1,,AC,2020,2050,100,,0.0145,0.0481,0.01198,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus076,bus118,eac1,,AC,2020,2050,100,,0.0164,0.0544,0.01356,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus003,bus005,cac1,,AC,2020,2050,100,,0.0241,0.108,0.0284,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus003,bus005,cac2,,AC,2020,2050,100,,0.0241,0.108,0.0284,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus005,bus006,cac1,,AC,2020,2050,100,,0.0119,0.054,0.01426,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus005,bus006,cac2,,AC,2020,2050,100,,0.0119,0.054,0.01426,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus008,bus009,cac2,,AC,2020,2050,100,,0.00244,0.0305,1.162,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus008,bus005,cac1,,AC,2020,2050,100,,0,0.0267,0,0.985,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus008,bus005,cac2,,AC,2020,2050,100,,0,0.0267,0,0.985,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus015,bus017,cac1,,AC,2020,2050,100,,0.0132,0.0437,0.0444,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus023,bus024,cac1,,AC,2020,2050,100,,0.0045,0.0164,0.1494,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
