
Gurobi 9.5.0 (linux64) logging started Thu Sep 14 14:09:01 2023

Set parameter LogFile to value "/vsc-hard-mounts/leuven-data/348/vsc34888/JointResearch/05.Models/06.Benchmarking/A.The_full_year_MILP/9n/openStarNet_9n.log"
Set parameter Method to value 2
Set parameter MIPFocus to value 1
Set parameter Presolve to value 2
Set parameter RINS to value 100
Set parameter MIPGap to value 0.01
Set parameter Threads to value 36
Set parameter TimeLimit to value 76000
Set parameter IterationLimit to value 76000000
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 36 physical cores, 36 logical processors, using up to 36 threads
Optimize a model with 8194371 rows, 2739079 columns and 27484094 nonzeros
Model fingerprint: 0xf08d6fa9
Variable types: 2739043 continuous, 36 integer (36 binary)
Coefficient statistics:
  Matrix range     [4e-04, 2e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [4e-04, 1e+00]
  RHS range        [4e-04, 1e+00]
Presolve removed 620268 rows and 244630 columns (presolve time = 5s) ...
Presolve removed 1458924 rows and 244630 columns (presolve time = 10s) ...
Presolve removed 1458924 rows and 323245 columns (presolve time = 15s) ...
Presolve removed 1878252 rows and 323245 columns (presolve time = 20s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 25s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 30s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 35s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 40s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 46s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 51s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 55s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 60s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 65s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 70s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 75s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 85s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 85s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 91s) ...
Presolve removed 2026755 rows and 480484 columns
Presolve time: 93.22s
Presolved: 6167616 rows, 2258595 columns, 22263999 nonzeros
Variable types: 2258559 continuous, 36 integer (36 binary)
Root relaxation presolve removed 0 rows and 0 columns (presolve time = 5s) ...
Root relaxation presolve removed 0 rows and 0 columns (presolve time = 10s) ...
Root relaxation presolve removed 0 rows and 0 columns (presolve time = 15s) ...
Root relaxation presolve removed 0 rows and 0 columns (presolve time = 22s) ...
Root relaxation presolved: 6167616 rows, 2258595 columns, 22263999 nonzeros

Root barrier log...

Ordering time: 3.13s

Barrier statistics:
 Dense cols : 36
 AA' NZ     : 1.214e+08
 Factor NZ  : 2.288e+08 (roughly 5.0 GB of memory)
 Factor Ops : 1.550e+10 (less than 1 second per iteration)
 Threads    : 35

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   4.94937748e+05 -8.67505436e+07  1.19e+01 1.23e+00  2.84e+01   172s
   1   1.53200719e+05 -2.97688968e+07  1.52e+00 3.05e+00  4.61e+00   175s
   2   8.29885431e+04 -5.81643205e+06  7.16e-02 2.83e-08  6.16e-01   178s
   3   2.04665929e+04 -1.25463432e+06  9.20e-03 5.47e-09  1.28e-01   182s
   4   7.56469401e+03 -7.16878444e+04  1.47e-03 4.42e-10  7.89e-03   186s
   5   2.84059266e+03 -2.10236227e+04  1.89e-04 1.06e-10  2.37e-03   188s
   6   2.22385158e+03 -9.52068196e+03  1.15e-04 5.62e-11  1.17e-03   191s
   7   1.57731639e+03 -1.82022574e+03  5.93e-05 9.89e-12  3.36e-04   194s
   8   8.45514653e+02 -7.60506212e+01  1.72e-05 3.38e-12  9.11e-05   197s
  66   4.24109588e+02  4.23916793e+02  2.22e-07 1.81e-11  1.90e-08   461s
  67   4.24102967e+02  4.23947115e+02  2.04e-07 1.17e-11  1.54e-08   467s
  68   4.24098638e+02  4.23976073e+02  1.80e-07 8.26e-12  1.21e-08   475s
  69   4.24094420e+02  4.23982344e+02  1.45e-07 1.06e-11  1.11e-08   481s
  70   4.24090169e+02  4.24006941e+02  1.02e-07 1.06e-11  8.22e-09   487s
  71   4.24089423e+02  4.24021818e+02  9.38e-08 3.34e-12  6.67e-09   492s
  72   4.24088376e+02  4.24038197e+02  8.24e-08 3.52e-12  4.95e-09   499s
  73   4.24085642e+02  4.24057887e+02  3.65e-08 3.71e-12  2.74e-09   504s
  74   4.24084972e+02  4.24060572e+02  3.02e-08 2.00e-12  2.41e-09   510s
  75   4.24084537e+02  4.24063726e+02  2.48e-08 1.72e-12  2.05e-09   515s
  76   4.24084381e+02  4.24068180e+02  2.28e-08 1.91e-12  1.60e-09   520s
  77   4.24084240e+02  4.24069209e+02  2.05e-08 8.81e-13  1.48e-09   524s
  78   4.24084073e+02  4.24075768e+02  1.79e-08 1.88e-12  8.20e-10   527s
  79   4.24083116e+02  4.24081813e+02  3.57e-09 1.05e-12  1.29e-10   531s
  80   4.24082982e+02  4.24082203e+02  2.41e-08 3.39e-12  7.69e-11   535s
  81   4.24082904e+02  4.24082842e+02  3.27e-08 3.30e-12  6.11e-12   538s
  82   4.24082902e+02  4.24082843e+02  2.61e-08 3.42e-12  5.89e-12   542s
  83   4.24082871e+02  4.24082846e+02  5.59e-08 1.77e-11  2.48e-12   546s
  84   4.24082870e+02  4.24082846e+02  5.77e-08 3.34e-11  2.37e-12   549s
  85   4.24082869e+02  4.24082846e+02  5.56e-08 6.34e-11  2.31e-12   552s
  86   4.24082852e+02  4.24082846e+02  1.99e-08 7.04e-10  5.21e-13   555s
  87   4.24082849e+02  4.24082846e+02  8.96e-09 1.64e-09  2.39e-13   557s

Barrier solved model in 87 iterations and 557.46 seconds (477.82 work units)
Optimal objective 4.24082849e+02


Root crossover log...

 5031395 variables added to crossover basis                      560s

  845087 DPushes remaining with DInf 0.0000000e+00               562s
    3736 DPushes remaining with DInf 0.0000000e+00               566s
       0 DPushes remaining with DInf 0.0000000e+00               569s

  680790 PPushes remaining with PInf 0.0000000e+00               569s
  394455 PPushes remaining with PInf 0.0000000e+00               571s
  188126 PPushes remaining with PInf 0.0000000e+00               576s
  111311 PPushes remaining with PInf 0.0000000e+00               581s
   67388 PPushes remaining with PInf 0.0000000e+00               587s
   43882 PPushes remaining with PInf 0.0000000e+00               591s
   28429 PPushes remaining with PInf 0.0000000e+00               597s
   17691 PPushes remaining with PInf 0.0000000e+00               604s
    8918 PPushes remaining with PInf 0.0000000e+00               610s
    4019 PPushes remaining with PInf 0.0000000e+00               616s
    1908 PPushes remaining with PInf 0.0000000e+00               622s
       0 PPushes remaining with PInf 0.0000000e+00               631s

  Push phase complete: Pinf 0.0000000e+00, Dinf 9.9161738e-11    632s


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
 1115591    4.2408285e+02   0.000000e+00   0.000000e+00    672s
 1115591    4.2408285e+02   0.000000e+00   0.000000e+00    713s

Root relaxation: objective 4.240828e+02, 1115591 iterations, 584.24 seconds (535.80 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  424.08285    0   12          -  424.08285      -     - 1878s
H    0     0                    17427.177322  424.08285  97.6%     - 2230s
     0     0  429.11736    0    3 17427.1773  429.11736  97.5%     - 7607s
H    0     0                     430.5853673  429.11736  0.34%     - 8142s

Cutting planes:
  MIR: 9487
  Relax-and-lift: 950

Explored 1 nodes (1354149 simplex iterations) in 8142.54 seconds (7987.28 work units)
Thread count was 36 (of 36 available processors)

Solution count 2: 430.585 17427.2 

Optimal solution found (tolerance 1.00e-02)
Best objective 4.305853672932e+02, best bound 4.291173554847e+02, gap 0.3409%

Gurobi 9.5.0 (linux64) logging started Thu Sep 14 16:28:31 2023

Set parameter LogFile to value "/vsc-hard-mounts/leuven-data/348/vsc34888/JointResearch/05.Models/06.Benchmarking/A.The_full_year_MILP/9n/openStarNet_9n.log"
Set parameter Method to value 2
Set parameter MIPFocus to value 1
Set parameter Presolve to value 2
Set parameter RINS to value 100
Set parameter MIPGap to value 0.01
Set parameter Threads to value 36
Set parameter TimeLimit to value 76000
Set parameter IterationLimit to value 76000000
No parameters matching 'relax_integrality' found
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 36 physical cores, 36 logical processors, using up to 36 threads
Optimize a model with 8194371 rows, 2739043 columns and 22452122 nonzeros
Model fingerprint: 0x05bac9b8
Coefficient statistics:
  Matrix range     [4e-04, 2e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [4e-04, 1e+00]
  RHS range        [4e-04, 2e+01]
Presolve removed 6066151 rows and 1500000 columns (presolve time = 5s) ...
Presolve removed 6270526 rows and 1704375 columns (presolve time = 12s) ...
Presolve removed 6273302 rows and 1726011 columns (presolve time = 15s) ...
Presolve removed 6699978 rows and 1740892 columns
Presolve time: 19.00s
Presolved: 1494393 rows, 1417479 columns, 5408184 nonzeros

Ordering time: 0.70s

Barrier statistics:
 AA' NZ     : 1.527e+07
 Factor NZ  : 2.787e+07 (roughly 1.4 GB of memory)
 Factor Ops : 6.004e+08 (less than 1 second per iteration)
 Threads    : 36

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   1.19861380e+06 -1.75127748e+07  6.55e+00 1.82e+01  4.37e+01    22s
   1   1.43003950e+05 -9.80200059e+06  4.12e-01 2.39e-03  4.93e+00    23s
   2   4.63685741e+04 -1.97016639e+06  1.63e-02 1.26e-04  6.98e-01    23s
   3   1.29754937e+04 -1.98080228e+05  1.88e-03 8.88e-06  7.05e-02    24s
   4   5.41484008e+03 -4.04404780e+04  5.63e-04 1.56e-06  1.52e-02    24s
   5   1.47493616e+03 -1.08436319e+04  4.90e-05 4.33e-07  4.08e-03    25s
   6   1.03352552e+03 -3.66140247e+03  1.37e-05 1.50e-07  1.56e-03    25s
   7   7.92809101e+02 -1.20472906e+03  6.71e-06 5.47e-08  6.62e-04    25s
   8   5.50824857e+02 -2.45878294e+02  2.05e-06 1.96e-08  2.64e-04    26s
   9   4.87269120e+02  2.19434605e+02  1.00e-06 5.36e-09  8.87e-05    26s
  10   4.42184440e+02  4.01200250e+02  1.95e-07 5.87e-10  1.36e-05    27s
  11   4.32628993e+02  4.29900928e+02  3.27e-08 3.74e-12  9.04e-07    28s
  12   4.30989880e+02  4.30553092e+02  6.36e-09 2.81e-14  1.45e-07    28s
  13   4.30687922e+02  4.30576831e+02  2.26e-09 2.13e-14  3.68e-08    29s
  14   4.30623051e+02  4.30584198e+02  3.29e-09 2.13e-14  1.29e-08    29s
  15   4.30589912e+02  4.30584768e+02  5.03e-10 1.42e-14  1.70e-09    30s
  16   4.30586996e+02  4.30585025e+02  6.42e-08 1.42e-14  6.53e-10    31s
  17   4.30586726e+02  4.30585144e+02  5.38e-08 1.42e-14  5.24e-10    31s
  18   4.30585602e+02  4.30585364e+02  2.68e-08 1.42e-14  7.89e-11    32s
  19   4.30585368e+02  4.30585367e+02  4.07e-09 1.42e-14  7.89e-14    33s

Barrier solved model in 19 iterations and 33.11 seconds (30.37 work units)
Optimal objective 4.30585368e+02

Crossover log...

  203863 DPushes remaining with DInf 0.0000000e+00                35s
   16908 DPushes remaining with DInf 0.0000000e+00                36s
       0 DPushes remaining with DInf 0.0000000e+00                38s

  209098 PPushes remaining with PInf 0.0000000e+00                39s
   85633 PPushes remaining with PInf 0.0000000e+00                42s
   44608 PPushes remaining with PInf 0.0000000e+00                47s
   29218 PPushes remaining with PInf 0.0000000e+00                51s
   18049 PPushes remaining with PInf 0.0000000e+00                57s
   10522 PPushes remaining with PInf 0.0000000e+00                64s
    6223 PPushes remaining with PInf 0.0000000e+00                69s
    4032 PPushes remaining with PInf 0.0000000e+00                74s
    2658 PPushes remaining with PInf 0.0000000e+00                80s
    1722 PPushes remaining with PInf 0.0000000e+00                86s
       0 PPushes remaining with PInf 0.0000000e+00                92s

  Push phase complete: Pinf 0.0000000e+00, Dinf 1.4297570e-11     92s

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  328030    4.3058537e+02   0.000000e+00   7.862500e-02    150s

Solved in 328030 iterations and 150.91 seconds (146.33 work units)
Optimal objective  4.305853673e+02
